Alert_Type,Severity,Project_ID,Item_ID,Project_Name,Condition,Current_Value,Threshold,Owner_Role,Required_Action
High Pending Exposure,Critical,PRJ-076,PRJ-076,Vista Marketplace,Pending exposure is 2.62% of project budget,2.622,1.5,Change Manager,Review pending items and obtain an approved exposure-reduction plan.
High/Critical Overdue RFI,Critical,PRJ-076,RFI-02817,,Critical RFI overdue by 1367 days,1367,7,Engineer,Obtain the response or escalate the required decision immediately.
High/Critical Overdue RFI,Critical,PRJ-077,RFI-02847,,High RFI overdue by 1418 days,1418,7,Engineer,Obtain the response or escalate the required decision immediately.
High/Critical Overdue RFI,Critical,PRJ-077,RFI-02858,,High RFI overdue by 918 days,918,7,Engineer,Obtain the response or escalate the required decision immediately.
High/Critical Overdue RFI,Critical,PRJ-078,RFI-02894,,High RFI overdue by 931 days,931,7,Owner Representative,Obtain the response or escalate the required decision immediately.
High/Critical Overdue RFI,Critical,PRJ-078,RFI-02902,,Critical RFI overdue by 873 days,873,7,Engineer,Obtain the response or escalate the required decision immediately.
High/Critical Overdue RFI,Critical,PRJ-079,RFI-02936,,Critical RFI overdue by 1427 days,1427,7,Construction Manager,Obtain the response or escalate the required decision immediately.
High/Critical Overdue RFI,Critical,PRJ-079,RFI-02966,,High RFI overdue by 974 days,974,7,Engineer,Obtain the response or escalate the required decision immediately.
High/Critical Overdue RFI,Critical,PRJ-080,RFI-02980,,High RFI overdue by 1408 days,1408,7,Engineer,Obtain the response or escalate the required decision immediately.
Red Project,Critical,PRJ-080,PRJ-080,Granite Water Facility,Workflow risk score 6 (Red),6,6,Project Manager,Open or update the project recovery plan and assign owners to every Red trigger.
Field-Impact Overdue RFI,Critical,PRJ-081,RFI-03014,,Open field-impact RFI overdue by 16 days,16,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
Field-Impact Overdue RFI,Critical,PRJ-081,RFI-03034,,Open field-impact RFI overdue by 566 days,566,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
High Pending Exposure,Critical,PRJ-081,PRJ-081,Desert View Transit-Oriented Development,Pending exposure is 2.41% of project budget,2.409,1.5,Change Manager,Review pending items and obtain an approved exposure-reduction plan.
High/Critical Overdue RFI,Critical,PRJ-081,RFI-03015,,High RFI overdue by 769 days,769,7,Architect,Obtain the response or escalate the required decision immediately.
Red Project,Critical,PRJ-081,PRJ-081,Desert View Transit-Oriented Development,Workflow risk score 7 (Red),7,6,Project Manager,Open or update the project recovery plan and assign owners to every Red trigger.
High/Critical Overdue RFI,Critical,PRJ-082,RFI-03040,,High RFI overdue by 799 days,799,7,Design Manager,Obtain the response or escalate the required decision immediately.
High/Critical Overdue RFI,Critical,PRJ-082,RFI-03048,,High RFI overdue by 791 days,791,7,Construction Manager,Obtain the response or escalate the required decision immediately.
Red Project,Critical,PRJ-082,PRJ-082,Sunset Office Campus,Workflow risk score 6 (Red),6,6,Project Manager,Open or update the project recovery plan and assign owners to every Red trigger.
High/Critical Overdue RFI,Critical,PRJ-083,RFI-03102,,High RFI overdue by 1114 days,1114,7,Engineer,Obtain the response or escalate the required decision immediately.
Field-Impact Overdue RFI,Critical,PRJ-085,RFI-03154,,Open field-impact RFI overdue by 282 days,282,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
Field-Impact Overdue RFI,Critical,PRJ-086,RFI-03194,,Open field-impact RFI overdue by 977 days,977,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
High/Critical Overdue RFI,Critical,PRJ-086,RFI-03194,,High RFI overdue by 977 days,977,7,Owner Representative,Obtain the response or escalate the required decision immediately.
High Pending Exposure,Critical,PRJ-087,PRJ-087,Vista Marketplace 2,Pending exposure is 1.75% of project budget,1.75,1.5,Change Manager,Review pending items and obtain an approved exposure-reduction plan.
Red Project,Critical,PRJ-087,PRJ-087,Vista Marketplace 2,Workflow risk score 6 (Red),6,6,Project Manager,Open or update the project recovery plan and assign owners to every Red trigger.
High Pending Exposure,Critical,PRJ-088,PRJ-088,Canyon Transit Center,Pending exposure is 2.22% of project budget,2.218,1.5,Change Manager,Review pending items and obtain an approved exposure-reduction plan.
High/Critical Overdue RFI,Critical,PRJ-089,RFI-03272,,High RFI overdue by 453 days,453,7,Architect,Obtain the response or escalate the required decision immediately.
Field-Impact Overdue RFI,Critical,PRJ-090,RFI-03281,,Open field-impact RFI overdue by 394 days,394,0,Design Manager,Protect the field sequence and assign a decision owner and due date.
Approved Not Incorporated,High,PRJ-001,CO-00002,,Approved change has no observed forecast incorporation date,,5 business days,Project Controls Lead,Reconcile the change register and update the forecast.
Approved Not Incorporated,High,PRJ-001,CO-00006,,Approved change has no observed forecast incorporation date,,5 business days,Project Controls Lead,Reconcile the change register and update the forecast.
Approved Not Incorporated,High,PRJ-001,CO-00008,,Approved change has no observed forecast incorporation date,,5 business days,Project Controls Lead,Reconcile the change register and update the forecast.
Approved Not Incorporated,High,PRJ-001,CO-00011,,Approved change has no observed forecast incorporation date,,5 business days,Project Controls Lead,Reconcile the change register and update the forecast.
Forecast Incorporation Lag,High,PRJ-001,CO-00001,,Forecast incorporation lag is 8 days,8,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-001,CO-00007,,Forecast incorporation lag is 15 days,15,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-001,CO-00009,,Forecast incorporation lag is 12 days,12,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Old Pending Change,High,PRJ-001,CO-00010,,Pending change age is 459 days,459,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Approved Not Incorporated,High,PRJ-002,CO-00022,,Approved change has no observed forecast incorporation date,,5 business days,Project Controls Lead,Reconcile the change register and update the forecast.
Approved Not Incorporated,High,PRJ-002,CO-00025,,Approved change has no observed forecast incorporation date,,5 business days,Project Controls Lead,Reconcile the change register and update the forecast.
Approved Not Incorporated,High,PRJ-002,CO-00030,,Approved change has no observed forecast incorporation date,,5 business days,Project Controls Lead,Reconcile the change register and update the forecast.
Forecast Incorporation Lag,High,PRJ-002,CO-00017,,Forecast incorporation lag is 7 days,7,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-002,CO-00018,,Forecast incorporation lag is 6 days,6,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-002,CO-00024,,Forecast incorporation lag is 10 days,10,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-002,CO-00026,,Forecast incorporation lag is 6 days,6,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Old Pending Change,High,PRJ-002,CO-00027,,Pending change age is 1239 days,1239,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Forecast Incorporation Lag,High,PRJ-003,CO-00032,,Forecast incorporation lag is 7 days,7,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-003,CO-00038,,Forecast incorporation lag is 6 days,6,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-003,CO-00039,,Forecast incorporation lag is 9 days,9,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-003,CO-00040,,Forecast incorporation lag is 15 days,15,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-003,CO-00041,,Forecast incorporation lag is 7 days,7,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-004,CO-00049,,Forecast incorporation lag is 12 days,12,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-004,CO-00050,,Forecast incorporation lag is 11 days,11,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-004,CO-00052,,Forecast incorporation lag is 7 days,7,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-004,CO-00053,,Forecast incorporation lag is 11 days,11,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Old Pending Change,High,PRJ-004,CO-00042,,Pending change age is 40 days,40,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-004,CO-00051,,Pending change age is 132 days,132,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Forecast Incorporation Lag,High,PRJ-005,CO-00058,,Forecast incorporation lag is 11 days,11,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Old Pending Change,High,PRJ-005,CO-00055,,Pending change age is 552 days,552,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-005,CO-00056,,Pending change age is 797 days,797,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-005,CO-00059,,Pending change age is 71 days,71,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-005,CO-00061,,Pending change age is 322 days,322,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Approved Not Incorporated,High,PRJ-006,CO-00075,,Approved change has no observed forecast incorporation date,,5 business days,Project Controls Lead,Reconcile the change register and update the forecast.
Forecast Incorporation Lag,High,PRJ-006,CO-00066,,Forecast incorporation lag is 40 days,40,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-006,CO-00067,,Forecast incorporation lag is 6 days,6,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-006,CO-00071,,Forecast incorporation lag is 6 days,6,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-006,CO-00072,,Forecast incorporation lag is 7 days,7,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Old Pending Change,High,PRJ-006,CO-00063,,Pending change age is 1088 days,1088,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-006,CO-00065,,Pending change age is 552 days,552,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-006,CO-00068,,Pending change age is 833 days,833,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-006,CO-00073,,Pending change age is 585 days,585,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Forecast Incorporation Lag,High,PRJ-007,CO-00076,,Forecast incorporation lag is 7 days,7,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-007,CO-00077,,Forecast incorporation lag is 18 days,18,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-007,CO-00078,,Forecast incorporation lag is 12 days,12,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-007,CO-00079,,Forecast incorporation lag is 20 days,20,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-007,CO-00081,,Forecast incorporation lag is 13 days,13,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Approved Not Incorporated,High,PRJ-008,CO-00093,,Approved change has no observed forecast incorporation date,,5 business days,Project Controls Lead,Reconcile the change register and update the forecast.
Forecast Incorporation Lag,High,PRJ-008,CO-00086,,Forecast incorporation lag is 14 days,14,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-008,CO-00087,,Forecast incorporation lag is 18 days,18,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-008,CO-00088,,Forecast incorporation lag is 6 days,6,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-008,CO-00090,,Forecast incorporation lag is 12 days,12,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-008,CO-00092,,Forecast incorporation lag is 7 days,7,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-008,CO-00094,,Forecast incorporation lag is 10 days,10,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-008,CO-00095,,Forecast incorporation lag is 6 days,6,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-008,CO-00098,,Forecast incorporation lag is 6 days,6,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-008,CO-00100,,Forecast incorporation lag is 7 days,7,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-008,CO-00101,,Forecast incorporation lag is 10 days,10,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-008,CO-00103,,Forecast incorporation lag is 8 days,8,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-008,CO-00104,,Forecast incorporation lag is 19 days,19,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Old Pending Change,High,PRJ-008,CO-00085,,Pending change age is 1257 days,1257,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-008,CO-00099,,Pending change age is 1176 days,1176,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Approved Not Incorporated,High,PRJ-009,CO-00106,,Approved change has no observed forecast incorporation date,,5 business days,Project Controls Lead,Reconcile the change register and update the forecast.
Forecast Incorporation Lag,High,PRJ-009,CO-00108,,Forecast incorporation lag is 7 days,7,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Approved Not Incorporated,High,PRJ-010,CO-00115,,Approved change has no observed forecast incorporation date,,5 business days,Project Controls Lead,Reconcile the change register and update the forecast.
Forecast Incorporation Lag,High,PRJ-010,CO-00114,,Forecast incorporation lag is 6 days,6,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-010,CO-00118,,Forecast incorporation lag is 8 days,8,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-010,CO-00119,,Forecast incorporation lag is 7 days,7,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-010,CO-00121,,Forecast incorporation lag is 8 days,8,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-011,CO-00124,,Forecast incorporation lag is 8 days,8,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-011,CO-00126,,Forecast incorporation lag is 9 days,9,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-011,CO-00135,,Forecast incorporation lag is 9 days,9,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-011,CO-00137,,Forecast incorporation lag is 8 days,8,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Old Pending Change,High,PRJ-011,CO-00131,,Pending change age is 1072 days,1072,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-011,CO-00134,,Pending change age is 935 days,935,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-011,CO-00136,,Pending change age is 821 days,821,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Approved Not Incorporated,High,PRJ-012,CO-00142,,Approved change has no observed forecast incorporation date,,5 business days,Project Controls Lead,Reconcile the change register and update the forecast.
Forecast Incorporation Lag,High,PRJ-012,CO-00138,,Forecast incorporation lag is 6 days,6,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-012,CO-00140,,Forecast incorporation lag is 9 days,9,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-012,CO-00141,,Forecast incorporation lag is 10 days,10,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-012,CO-00143,,Forecast incorporation lag is 8 days,8,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-012,CO-00151,,Forecast incorporation lag is 14 days,14,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Old Pending Change,High,PRJ-012,CO-00144,,Pending change age is 289 days,289,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-012,CO-00150,,Pending change age is 320 days,320,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Approved Not Incorporated,High,PRJ-013,CO-00152,,Approved change has no observed forecast incorporation date,,5 business days,Project Controls Lead,Reconcile the change register and update the forecast.
Approved Not Incorporated,High,PRJ-013,CO-00163,,Approved change has no observed forecast incorporation date,,5 business days,Project Controls Lead,Reconcile the change register and update the forecast.
Forecast Incorporation Lag,High,PRJ-013,CO-00158,,Forecast incorporation lag is 6 days,6,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-013,CO-00159,,Forecast incorporation lag is 10 days,10,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-013,CO-00161,,Forecast incorporation lag is 12 days,12,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Old Pending Change,High,PRJ-013,CO-00155,,Pending change age is 998 days,998,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-013,CO-00156,,Pending change age is 1214 days,1214,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-013,CO-00162,,Pending change age is 1315 days,1315,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Forecast Incorporation Lag,High,PRJ-014,CO-00169,,Forecast incorporation lag is 7 days,7,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-014,CO-00171,,Forecast incorporation lag is 14 days,14,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Old Pending Change,High,PRJ-014,CO-00168,,Pending change age is 550 days,550,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Forecast Incorporation Lag,High,PRJ-015,CO-00175,,Forecast incorporation lag is 8 days,8,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-015,CO-00178,,Forecast incorporation lag is 7 days,7,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Old Pending Change,High,PRJ-015,CO-00176,,Pending change age is 168 days,168,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Approved Not Incorporated,High,PRJ-016,CO-00195,,Approved change has no observed forecast incorporation date,,5 business days,Project Controls Lead,Reconcile the change register and update the forecast.
Forecast Incorporation Lag,High,PRJ-016,CO-00182,,Forecast incorporation lag is 8 days,8,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-016,CO-00190,,Forecast incorporation lag is 7 days,7,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-016,CO-00196,,Forecast incorporation lag is 6 days,6,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Old Pending Change,High,PRJ-016,CO-00180,,Pending change age is 1003 days,1003,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-016,CO-00181,,Pending change age is 617 days,617,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-016,CO-00183,,Pending change age is 752 days,752,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-016,CO-00188,,Pending change age is 634 days,634,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-016,CO-00197,,Pending change age is 580 days,580,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Approved Not Incorporated,High,PRJ-017,CO-00211,,Approved change has no observed forecast incorporation date,,5 business days,Project Controls Lead,Reconcile the change register and update the forecast.
Forecast Incorporation Lag,High,PRJ-017,CO-00199,,Forecast incorporation lag is 15 days,15,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-017,CO-00200,,Forecast incorporation lag is 6 days,6,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-017,CO-00213,,Forecast incorporation lag is 7 days,7,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-017,CO-00216,,Forecast incorporation lag is 9 days,9,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Old Pending Change,High,PRJ-017,CO-00201,,Pending change age is 1277 days,1277,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-017,CO-00204,,Pending change age is 920 days,920,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-017,CO-00205,,Pending change age is 1054 days,1054,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-017,CO-00209,,Pending change age is 1331 days,1331,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Forecast Incorporation Lag,High,PRJ-018,CO-00218,,Forecast incorporation lag is 8 days,8,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-018,CO-00219,,Forecast incorporation lag is 8 days,8,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-018,CO-00221,,Forecast incorporation lag is 6 days,6,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-018,CO-00223,,Forecast incorporation lag is 6 days,6,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-018,CO-00225,,Forecast incorporation lag is 6 days,6,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Old Pending Change,High,PRJ-018,CO-00220,,Pending change age is 1438 days,1438,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Approved Not Incorporated,High,PRJ-019,CO-00237,,Approved change has no observed forecast incorporation date,,5 business days,Project Controls Lead,Reconcile the change register and update the forecast.
Forecast Incorporation Lag,High,PRJ-019,CO-00227,,Forecast incorporation lag is 12 days,12,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-019,CO-00230,,Forecast incorporation lag is 9 days,9,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-019,CO-00235,,Forecast incorporation lag is 8 days,8,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-019,CO-00239,,Forecast incorporation lag is 7 days,7,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-019,CO-00240,,Forecast incorporation lag is 6 days,6,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-019,CO-00241,,Forecast incorporation lag is 7 days,7,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-019,CO-00243,,Forecast incorporation lag is 18 days,18,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-019,CO-00244,,Forecast incorporation lag is 7 days,7,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Old Pending Change,High,PRJ-019,CO-00228,,Pending change age is 1146 days,1146,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-019,CO-00229,,Pending change age is 835 days,835,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-019,CO-00231,,Pending change age is 1048 days,1048,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-019,CO-00232,,Pending change age is 727 days,727,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-019,CO-00236,,Pending change age is 855 days,855,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-019,CO-00246,,Pending change age is 688 days,688,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-019,CO-00247,,Pending change age is 776 days,776,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Forecast Incorporation Lag,High,PRJ-020,CO-00249,,Forecast incorporation lag is 9 days,9,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-020,CO-00252,,Forecast incorporation lag is 9 days,9,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Old Pending Change,High,PRJ-020,CO-00254,,Pending change age is 761 days,761,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-020,CO-00260,,Pending change age is 389 days,389,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-020,CO-00261,,Pending change age is 437 days,437,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Approved Not Incorporated,High,PRJ-021,CO-00270,,Approved change has no observed forecast incorporation date,,5 business days,Project Controls Lead,Reconcile the change register and update the forecast.
Forecast Incorporation Lag,High,PRJ-021,CO-00264,,Forecast incorporation lag is 20 days,20,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-021,CO-00265,,Forecast incorporation lag is 6 days,6,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-021,CO-00266,,Forecast incorporation lag is 17 days,17,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-021,CO-00267,,Forecast incorporation lag is 14 days,14,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-021,CO-00271,,Forecast incorporation lag is 21 days,21,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-021,CO-00272,,Forecast incorporation lag is 15 days,15,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Old Pending Change,High,PRJ-021,CO-00273,,Pending change age is 1305 days,1305,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-021,CO-00274,,Pending change age is 848 days,848,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Approved Not Incorporated,High,PRJ-022,CO-00285,,Approved change has no observed forecast incorporation date,,5 business days,Project Controls Lead,Reconcile the change register and update the forecast.
Forecast Incorporation Lag,High,PRJ-022,CO-00281,,Forecast incorporation lag is 7 days,7,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-022,CO-00282,,Forecast incorporation lag is 8 days,8,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-022,CO-00284,,Forecast incorporation lag is 12 days,12,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Old Pending Change,High,PRJ-022,CO-00280,,Pending change age is 1280 days,1280,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Old Pending Change,High,PRJ-022,CO-00286,,Pending change age is 1445 days,1445,35,Change Manager,"Decide, negotiate, revise, or document final disposition."
Forecast Incorporation Lag,High,PRJ-023,CO-00288,,Forecast incorporation lag is 6 days,6,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-023,CO-00294,,Forecast incorporation lag is 24 days,24,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-023,CO-00295,,Forecast incorporation lag is 6 days,6,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
Forecast Incorporation Lag,High,PRJ-023,CO-00297,,Forecast incorporation lag is 12 days,12,5,Project Controls Lead,Confirm forecast update and document the reconciliation.
