Action_ID,Table,Record_ID,Field,Issue_Type,Raw_Value,Clean_Value,Action,Evidence,Disposition
ACT-0170,Workflow Events,EVT-006745,Event_Sequence,Discovered sequence inconsistency,2,3,Renumbered event sequence by timestamp,Chronological normalization for RFI RFI-03018,Repaired
ACT-0171,Workflow Events,EVT-006782,Event_Sequence,Discovered sequence inconsistency,3,2,Renumbered event sequence by timestamp,Chronological normalization for RFI RFI-03034,Repaired
ACT-0172,Workflow Events,EVT-006781,Event_Sequence,Discovered sequence inconsistency,2,3,Renumbered event sequence by timestamp,Chronological normalization for RFI RFI-03034,Repaired
ACT-0173,Workflow Events,EVT-006955,Event_Sequence,Discovered sequence inconsistency,3,2,Renumbered event sequence by timestamp,Chronological normalization for RFI RFI-03109,Repaired
ACT-0174,Workflow Events,EVT-006954,Event_Sequence,Discovered sequence inconsistency,2,3,Renumbered event sequence by timestamp,Chronological normalization for RFI RFI-03109,Repaired
ACT-0175,Workflow Events,EVT-007638,Event_Sequence,Discovered sequence inconsistency,4,3,Renumbered event sequence by timestamp,Chronological normalization for Change Order CO-00063,Repaired
ACT-0176,Workflow Events,EVT-007637,Event_Sequence,Discovered sequence inconsistency,3,4,Renumbered event sequence by timestamp,Chronological normalization for Change Order CO-00063,Repaired
ACT-0177,Workflow Events,EVT-007893,Event_Sequence,Discovered sequence inconsistency,4,3,Renumbered event sequence by timestamp,Chronological normalization for Change Order CO-00134,Repaired
ACT-0178,Workflow Events,EVT-007892,Event_Sequence,Discovered sequence inconsistency,3,4,Renumbered event sequence by timestamp,Chronological normalization for Change Order CO-00134,Repaired
ACT-0179,Workflow Events,EVT-007968,Event_Sequence,Discovered sequence inconsistency,4,3,Renumbered event sequence by timestamp,Chronological normalization for Change Order CO-00155,Repaired
ACT-0180,Workflow Events,EVT-007967,Event_Sequence,Discovered sequence inconsistency,3,4,Renumbered event sequence by timestamp,Chronological normalization for Change Order CO-00155,Repaired
ACT-0181,Workflow Events,EVT-008159,Event_Sequence,Discovered sequence inconsistency,4,3,Renumbered event sequence by timestamp,Chronological normalization for Change Order CO-00209,Repaired
ACT-0182,Workflow Events,EVT-008158,Event_Sequence,Discovered sequence inconsistency,3,4,Renumbered event sequence by timestamp,Chronological normalization for Change Order CO-00209,Repaired
ACT-0183,Workflow Events,EVT-008421,Event_Sequence,Discovered sequence inconsistency,4,3,Renumbered event sequence by timestamp,Chronological normalization for Change Order CO-00286,Repaired
ACT-0184,Workflow Events,EVT-008420,Event_Sequence,Discovered sequence inconsistency,3,4,Renumbered event sequence by timestamp,Chronological normalization for Change Order CO-00286,Repaired
ACT-0185,Workflow Events,EVT-008568,Event_Sequence,Discovered sequence inconsistency,4,3,Renumbered event sequence by timestamp,Chronological normalization for Change Order CO-00329,Repaired
ACT-0186,Workflow Events,EVT-008567,Event_Sequence,Discovered sequence inconsistency,3,4,Renumbered event sequence by timestamp,Chronological normalization for Change Order CO-00329,Repaired
ACT-0187,Workflow Events,EVT-008625,Event_Sequence,Discovered sequence inconsistency,4,3,Renumbered event sequence by timestamp,Chronological normalization for Change Order CO-00346,Repaired
ACT-0188,Workflow Events,EVT-008624,Event_Sequence,Discovered sequence inconsistency,3,4,Renumbered event sequence by timestamp,Chronological normalization for Change Order CO-00346,Repaired
ACT-0189,Workflow Events,EVT-008867,Event_Sequence,Discovered sequence inconsistency,4,3,Renumbered event sequence by timestamp,Chronological normalization for Change Order CO-00417,Repaired
ACT-0190,Workflow Events,EVT-008866,Event_Sequence,Discovered sequence inconsistency,3,4,Renumbered event sequence by timestamp,Chronological normalization for Change Order CO-00417,Repaired
ACT-0191,Workflow Events,EVT-008954,Event_Sequence,Discovered sequence inconsistency,4,3,Renumbered event sequence by timestamp,Chronological normalization for Change Order CO-00442,Repaired
ACT-0192,Workflow Events,EVT-008953,Event_Sequence,Discovered sequence inconsistency,3,4,Renumbered event sequence by timestamp,Chronological normalization for Change Order CO-00442,Repaired
ACT-0193,Workflow Events,EVT-009055,Event_Sequence,Discovered sequence inconsistency,4,3,Renumbered event sequence by timestamp,Chronological normalization for Change Order CO-00471,Repaired
ACT-0194,Workflow Events,EVT-009054,Event_Sequence,Discovered sequence inconsistency,3,4,Renumbered event sequence by timestamp,Chronological normalization for Change Order CO-00471,Repaired
ACT-0195,Workflow Events,EVT-009182,Event_Sequence,Discovered sequence inconsistency,4,3,Renumbered event sequence by timestamp,Chronological normalization for Change Order CO-00507,Repaired
ACT-0196,Workflow Events,EVT-009181,Event_Sequence,Discovered sequence inconsistency,3,4,Renumbered event sequence by timestamp,Chronological normalization for Change Order CO-00507,Repaired
ACT-0197,Workflow Events,EVT-009226,Event_Sequence,Discovered sequence inconsistency,4,3,Renumbered event sequence by timestamp,Chronological normalization for Change Order CO-00519,Repaired
ACT-0198,Workflow Events,EVT-009225,Event_Sequence,Discovered sequence inconsistency,3,4,Renumbered event sequence by timestamp,Chronological normalization for Change Order CO-00519,Repaired
ACT-0199,Workflow Events,EVT-009448,Event_Sequence,Discovered sequence inconsistency,4,3,Renumbered event sequence by timestamp,Chronological normalization for Change Order CO-00583,Repaired
ACT-0200,Workflow Events,EVT-009447,Event_Sequence,Discovered sequence inconsistency,3,4,Renumbered event sequence by timestamp,Chronological normalization for Change Order CO-00583,Repaired
ACT-0201,Workflow Events,EVT-009554,Event_Sequence,Discovered sequence inconsistency,4,3,Renumbered event sequence by timestamp,Chronological normalization for Change Order CO-00614,Repaired
ACT-0202,Workflow Events,EVT-009553,Event_Sequence,Discovered sequence inconsistency,3,4,Renumbered event sequence by timestamp,Chronological normalization for Change Order CO-00614,Repaired
ACT-0203,Workflow Events,EVT-009864,Event_Sequence,Discovered sequence inconsistency,4,3,Renumbered event sequence by timestamp,Chronological normalization for Change Order CO-00702,Repaired
ACT-0204,Workflow Events,EVT-009863,Event_Sequence,Discovered sequence inconsistency,3,4,Renumbered event sequence by timestamp,Chronological normalization for Change Order CO-00702,Repaired
ACT-0205,Workflow Events,EVT-009901,Event_Sequence,Discovered sequence inconsistency,4,3,Renumbered event sequence by timestamp,Chronological normalization for Change Order CO-00712,Repaired
ACT-0206,Workflow Events,EVT-009900,Event_Sequence,Discovered sequence inconsistency,3,4,Renumbered event sequence by timestamp,Chronological normalization for Change Order CO-00712,Repaired
ACT-0207,Workflow Events,EVT-009909,Event_Sequence,Discovered sequence inconsistency,4,3,Renumbered event sequence by timestamp,Chronological normalization for Change Order CO-00714,Repaired
ACT-0208,Workflow Events,EVT-009908,Event_Sequence,Discovered sequence inconsistency,3,4,Renumbered event sequence by timestamp,Chronological normalization for Change Order CO-00714,Repaired
ACT-0209,Workflow Events,EVT-009987,Event_Sequence,Discovered sequence inconsistency,4,3,Renumbered event sequence by timestamp,Chronological normalization for Change Order CO-00736,Repaired
ACT-0210,Workflow Events,EVT-009986,Event_Sequence,Discovered sequence inconsistency,3,4,Renumbered event sequence by timestamp,Chronological normalization for Change Order CO-00736,Repaired
ACT-0211,Workflow Events,EVT-009991,Event_Sequence,Discovered sequence inconsistency,4,3,Renumbered event sequence by timestamp,Chronological normalization for Change Order CO-00737,Repaired
ACT-0212,Workflow Events,EVT-009990,Event_Sequence,Discovered sequence inconsistency,3,4,Renumbered event sequence by timestamp,Chronological normalization for Change Order CO-00737,Repaired
ACT-0213,Workflow Events,EVT-010181,Event_Sequence,Discovered sequence inconsistency,4,3,Renumbered event sequence by timestamp,Chronological normalization for Change Order CO-00794,Repaired
ACT-0214,Workflow Events,EVT-010180,Event_Sequence,Discovered sequence inconsistency,3,4,Renumbered event sequence by timestamp,Chronological normalization for Change Order CO-00794,Repaired
ACT-0215,Workflow Events,EVT-010209,Event_Sequence,Discovered sequence inconsistency,4,3,Renumbered event sequence by timestamp,Chronological normalization for Change Order CO-00802,Repaired
ACT-0216,Workflow Events,EVT-010208,Event_Sequence,Discovered sequence inconsistency,3,4,Renumbered event sequence by timestamp,Chronological normalization for Change Order CO-00802,Repaired
ACT-0217,Workflow Events,EVT-010629,Event_Sequence,Discovered sequence inconsistency,4,3,Renumbered event sequence by timestamp,Chronological normalization for Change Order CO-00923,Repaired
ACT-0218,Workflow Events,EVT-010628,Event_Sequence,Discovered sequence inconsistency,3,4,Renumbered event sequence by timestamp,Chronological normalization for Change Order CO-00923,Repaired
ACT-0219,Workflow Events,EVT-010833,Event_Sequence,Discovered sequence inconsistency,4,3,Renumbered event sequence by timestamp,Chronological normalization for Change Order CO-00982,Repaired
ACT-0220,Workflow Events,EVT-010832,Event_Sequence,Discovered sequence inconsistency,3,4,Renumbered event sequence by timestamp,Chronological normalization for Change Order CO-00982,Repaired
ACT-0221,Workflow Events,EVT-010978,Event_Sequence,Discovered sequence inconsistency,4,3,Renumbered event sequence by timestamp,Chronological normalization for Change Order CO-01025,Repaired
ACT-0222,Workflow Events,EVT-010977,Event_Sequence,Discovered sequence inconsistency,3,4,Renumbered event sequence by timestamp,Chronological normalization for Change Order CO-01025,Repaired
ACT-0223,Workflow Events,EVT-011169,Event_Sequence,Discovered sequence inconsistency,4,3,Renumbered event sequence by timestamp,Chronological normalization for Change Order CO-01082,Repaired
ACT-0224,Workflow Events,EVT-011168,Event_Sequence,Discovered sequence inconsistency,3,4,Renumbered event sequence by timestamp,Chronological normalization for Change Order CO-01082,Repaired
ACT-0225,Workflow Events,EVT-011224,Event_Sequence,Discovered sequence inconsistency,4,3,Renumbered event sequence by timestamp,Chronological normalization for Change Order CO-01099,Repaired
ACT-0226,Workflow Events,EVT-011223,Event_Sequence,Discovered sequence inconsistency,3,4,Renumbered event sequence by timestamp,Chronological normalization for Change Order CO-01099,Repaired
