Change_Order_ID,Project_ID,Change_Number,Change_Title,Change_Category,Initiating_Party,Discipline,Change_Type,Originating_Source,Identified_Date,Submitted_Date,Required_Decision_Date,First_Decision_Date,Approved_Date,Closed_Date,Change_Status,Submitted_Value,Negotiated_Value,Approved_Value,Requested_Schedule_Days,Approved_Schedule_Days,Revision_Count,Pricing_Status,Authorization_Type,Forecast_Incorporated_Date,Cost_Code_Group
CO-00287,PRJ-022,CO-010,Code or Regulatory Requirement - Plumbing Area D9,Code or Regulatory Requirement,Engineer,Plumbing,Zero-Cost,Field Condition,2022-04-18,2022-04-21,2022-05-11,2022-04-26,,2022-04-30,Withdrawn,0,,0,0,0,0,Submitted,None,,General Conditions
CO-00288,PRJ-023,CO-001,Unforeseen Condition - Electrical Area D2,Unforeseen Condition,Architect,Electrical,Additive,Field Condition,2024-05-30,2024-06-13,2024-07-03,2024-07-31,2024-08-23,2024-08-27,Approved,47000,40000,39000,0,0,1,Final,Owner Authorization,2024-08-29,Interiors
CO-00289,PRJ-023,CO-002,Owner-Directed Change - Controls Area A1,Owner-Directed Change,General Contractor,Controls,Additive,Owner Request,2024-07-22,2024-07-28,2024-08-17,2024-08-22,,2024-09-19,Rejected,207000,167000,0,13,0,1,Final,None,,Interiors
CO-00290,PRJ-023,CO-003,Scope Clarification - Controls Area B6,Scope Clarification,Construction Manager,Controls,Time Only,Schedule Recovery,2024-07-19,2024-08-06,2024-08-26,2024-08-30,2024-09-18,2024-09-22,Approved,0,0,0,4,3,2,Final,Owner Authorization,2024-09-22,Concrete
CO-00291,PRJ-023,CO-004,Quantity Variation - Architectural Area C2,Quantity Variation,Subcontractor,Architectural,Additive,RFI,2023-02-21,2023-02-27,2023-03-19,2023-03-11,2023-03-28,2023-04-01,Approved,56000,43000,43000,4,2,0,Final,Executed Change Order,2023-03-31,Sitework
CO-00292,PRJ-023,CO-005,Unforeseen Condition - Mechanical Area C5,Unforeseen Condition,Subcontractor,Mechanical,Deductive,RFI,2024-05-17,2024-05-22,2024-06-11,2024-06-06,2024-06-30,2024-07-07,Approved,-298000,-305000,-294000,4,3,1,Final,Owner Authorization,2024-07-04,MEP
CO-00293,PRJ-023,CO-006,Substitution - Architectural Area A1,Substitution,Authority Having Jurisdiction,Architectural,Additive,Schedule Recovery,2022-11-28,2022-12-03,2022-12-23,2023-01-17,2023-02-23,2023-03-05,Approved,43000,33000,33000,6,5,2,Final,Executed Change Order,2023-02-28,Interiors
CO-00294,PRJ-023,CO-007,Design Error or Omission - Structural Area C1,Design Error or Omission,Architect,Structural,Additive,Submittal Review,2023-03-22,2023-03-25,2023-04-14,2023-04-13,2023-04-24,2023-04-30,Approved,108000,98000,97000,0,0,0,Final,Owner Authorization,2023-05-18,MEP
CO-00295,PRJ-023,CO-008,Unforeseen Condition - Architectural Area A7,Unforeseen Condition,General Contractor,Architectural,Additive,Field Condition,2022-11-28,2022-12-12,2023-01-01,2022-12-26,2023-01-02,2023-01-11,Approved,37000,31000,30000,0,0,0,Final,Owner Authorization,2023-01-08,General Conditions
CO-00296,PRJ-023,CO-009,Unforeseen Condition - Mechanical Area B4,Unforeseen Condition,Construction Manager,Mechanical,Additive,RFI,2023-07-26,2023-08-09,2023-08-29,2023-08-30,2023-09-08,2023-09-18,Approved,155000,138000,136000,6,3,1,Final,Owner Authorization,2023-09-12,Specialties
CO-00297,PRJ-023,CO-010,Design Error or Omission - Electrical Area C1,Design Error or Omission,Engineer,Electrical,Zero-Cost,Submittal Review,2024-10-12,2024-10-21,2024-11-10,2024-11-06,2024-12-02,2024-12-12,Approved,0,0,0,0,0,0,Final,Executed Change Order,2024-12-14,Equipment
CO-00298,PRJ-023,CO-011,Code or Regulatory Requirement - Specialty Systems Area A9,Code or Regulatory Requirement,General Contractor,Specialty Systems,Additive,Schedule Recovery,2024-10-12,2024-10-19,2024-11-08,2024-11-09,2024-11-27,2024-12-01,Approved,140000,113000,113000,0,0,0,Final,Executed Change Order,2024-12-07,MEP
CO-00299,PRJ-023,CO-012,Unforeseen Condition - Electrical Area C3,Unforeseen Condition,General Contractor,Electrical,Additive,Field Condition,2024-04-01,2024-04-09,2024-04-29,2024-04-21,2024-05-08,2024-05-12,Approved,35000,33000,33000,11,10,0,Final,Executed Change Order,2024-05-26,Specialties
CO-00300,PRJ-023,CO-013,Unforeseen Condition - Mechanical Area D1,Unforeseen Condition,Construction Manager,Mechanical,Zero-Cost,Field Condition,2023-09-30,2023-10-04,2023-10-24,2023-10-24,,2023-11-10,Rejected,0,0,0,0,0,1,Final,None,,MEP
CO-00301,PRJ-023,CO-014,Scope Clarification - General Area D7,Scope Clarification,Authority Having Jurisdiction,General,Time Only,Design Revision,2024-02-11,2024-03-26,2024-04-15,2024-03-30,2024-04-08,2024-04-14,Approved,0,0,0,1,0,0,Final,Construction Change Directive,2024-04-12,Concrete
CO-00302,PRJ-023,CO-015,Design Error or Omission - Plumbing Area B2,Design Error or Omission,Architect,Plumbing,Additive,RFI,2024-08-10,2024-08-26,2024-09-15,2024-09-22,,2024-10-16,Rejected,66000,33000,0,0,0,0,Final,None,,Concrete
CO-00303,PRJ-024,CO-001,Owner-Directed Change - Civil Area A10,Owner-Directed Change,Owner,Civil,Additive,Owner Request,2024-04-18,2024-04-21,2024-05-11,2024-04-28,,,Pending,196000,,,0,0,0,Pricing in Progress,None,,Interiors
CO-00304,PRJ-024,CO-002,Owner-Directed Change - Structural Area D6,Owner-Directed Change,Owner,Structural,Zero-Cost,Owner Request,2024-05-27,2024-06-04,2024-06-24,2024-07-01,2024-07-20,2024-07-28,Approved,0,0,0,0,0,1,Final,Owner Authorization,2024-07-24,MEP
CO-00305,PRJ-024,CO-003,Quantity Variation - Structural Area B4,Quantity Variation,Subcontractor,Structural,Additive,Field Condition,2022-10-07,2022-10-09,2022-10-29,2022-10-19,,2022-10-26,Rejected,284000,226000,0,0,0,0,Final,None,,Concrete
CO-00306,PRJ-024,CO-004,Quantity Variation - Specialty Systems Area C5,Quantity Variation,Subcontractor,Specialty Systems,Additive,Owner Request,2023-03-05,2023-03-10,2023-03-30,2023-03-19,2023-03-24,2023-03-29,Approved,66000,63000,64000,0,0,0,Final,Executed Change Order,2023-03-28,Specialties
CO-00307,PRJ-024,CO-005,Code or Regulatory Requirement - Architectural Area B5,Code or Regulatory Requirement,Subcontractor,Architectural,Deductive,Schedule Recovery,2022-11-19,2022-11-25,2022-12-15,2022-12-13,,2022-12-31,Withdrawn,-61000,,0,0,0,1,Pricing in Progress,None,,Concrete
CO-00308,PRJ-024,CO-006,Code or Regulatory Requirement - Architectural Area B8,Code or Regulatory Requirement,Engineer,Architectural,Additive,Schedule Recovery,2023-03-19,2023-03-27,2023-04-16,2023-04-03,2023-04-10,2023-04-15,Approved,315000,243000,238000,3,1,0,Final,Owner Authorization,2023-04-18,MEP
CO-00309,PRJ-024,CO-007,Code or Regulatory Requirement - Structural Area A7,Code or Regulatory Requirement,Architect,Structural,Time Only,Design Revision,2023-04-17,2023-04-20,2023-05-10,2023-05-11,2023-05-24,2023-05-28,Approved,0,0,0,4,2,0,Final,Executed Change Order,2023-05-30,Sitework
CO-00310,PRJ-024,CO-008,Substitution - Civil Area D1,Substitution,Subcontractor,Civil,Additive,Schedule Recovery,2023-08-20,2023-08-29,2023-09-18,2023-09-13,2023-09-21,2023-09-23,Approved,176000,145000,143000,3,2,1,Final,Executed Change Order,2023-09-22,MEP
CO-00311,PRJ-024,CO-009,Owner-Directed Change - Structural Area D8,Owner-Directed Change,Owner,Structural,Additive,Owner Request,2024-03-18,2024-03-20,2024-04-09,2024-04-16,2024-05-20,2024-05-23,Approved,428000,402000,389000,18,18,0,Final,Construction Change Directive,2024-05-24,Concrete
CO-00312,PRJ-024,CO-010,Owner-Directed Change - Plumbing Area D5,Owner-Directed Change,Owner,Plumbing,Additive,Owner Request,2022-12-22,2022-12-28,2023-01-17,2023-01-05,2023-01-17,2023-01-26,Approved,163000,152000,152000,0,0,0,Final,Field Directive,2023-02-04,Specialties
CO-00313,PRJ-024,CO-011,Quantity Variation - Mechanical Area C4,Quantity Variation,General Contractor,Mechanical,Deductive,Field Condition,2023-06-17,2023-06-23,2023-07-13,2023-06-30,2023-07-12,2023-07-18,Approved,-44000,-41000,-40000,0,0,0,Final,Owner Authorization,2023-07-19,Sitework
CO-00314,PRJ-024,CO-012,Unforeseen Condition - Controls Area A2,Unforeseen Condition,Construction Manager,Controls,Additive,Field Condition,2023-04-16,2023-04-19,2023-05-09,2023-04-30,2023-05-13,2023-05-17,Approved,39000,34000,33000,3,2,1,Final,Executed Change Order,2023-05-22,General Conditions
CO-00315,PRJ-024,CO-013,Unforeseen Condition - Mechanical Area B1,Unforeseen Condition,Subcontractor,Mechanical,Additive,RFI,2023-10-11,2023-10-14,2023-11-03,2023-11-09,,2023-11-25,Rejected,250000,174000,0,2,0,1,Final,None,,Sitework
CO-00316,PRJ-024,CO-014,Unforeseen Condition - Plumbing Area B4,Unforeseen Condition,Subcontractor,Plumbing,Additive,Field Condition,2023-12-25,2023-12-30,2024-01-19,2024-01-13,2024-01-23,2024-01-29,Approved,164000,141000,136000,0,0,0,Final,Owner Authorization,2024-01-25,MEP
CO-00317,PRJ-024,CO-015,Quantity Variation - Fire Protection Area A7,Quantity Variation,Owner,Fire Protection,Additive,Schedule Recovery,2023-06-17,2023-06-21,2023-07-11,2023-07-04,2023-07-22,2023-07-27,Approved,161000,125000,123000,0,0,1,Final,Owner Authorization,2023-07-31,Metals
CO-00318,PRJ-024,CO-016,Design Error or Omission - Electrical Area C5,Design E&O,Owner,Electrical,Additive,RFI,2022-10-08,2022-10-11,2022-10-31,2022-10-21,2022-11-04,2022-11-13,Approved,119000,99000,96000,0,0,0,Final,Executed Change Order,2022-11-11,Envelope
CO-00319,PRJ-025,CO-001,Owner-Directed Change - Plumbing Area A8,Owner-Directed Change,Owner,Plumbing,Additive,Owner Request,2024-01-19,2024-01-27,2024-02-16,2024-03-07,2024-04-08,2024-04-12,Approved,123000,108000,107000,6,4,1,Final,Executed Change Order,2024-04-11,Interiors
CO-00320,PRJ-025,CO-002,Unforeseen Condition - Plumbing Area A8,Unforeseen Condition,Construction Manager,Plumbing,Additive,Field Condition,2024-05-25,2024-06-07,2024-06-27,2024-06-29,,,Pending,371000,296000,,0,0,2,Negotiating,None,,Concrete
CO-00321,PRJ-025,CO-003,Design Error or Omission - General Area D10,Design Error or Omission,Architect,General,Additive,Submittal Review,2023-09-28,2023-10-15,2023-11-04,2023-11-14,,2023-12-15,Rejected,180000,94000,0,13,0,0,Final,None,,MEP
CO-00322,PRJ-025,CO-004,Design Error or Omission - Specialty Systems Area A7,Design Error or Omission,General Contractor,Specialty Systems,Additive,Design Revision,2024-05-16,2024-05-20,2024-06-09,2024-05-29,2024-06-04,2024-06-10,Approved,91000,73000,74000,0,0,0,Final,Executed Change Order,2024-06-10,Envelope
CO-00323,PRJ-025,CO-005,Schedule Acceleration - Electrical Area B5,Schedule Acceleration,Construction Manager,Electrical,Time Only,RFI,2024-05-03,2024-05-12,2024-06-01,2024-06-30,2024-07-24,2024-07-26,Approved,0,0,0,16,9,0,Final,Construction Change Directive,2024-07-26,MEP
CO-00324,PRJ-025,CO-006,Code or Regulatory Requirement - Specialty Systems Area D8,Code or Regulatory Requirement,Authority Having Jurisdiction,Specialty Systems,Additive,Field Condition,2024-05-22,2024-05-27,2024-06-16,2024-07-08,2024-08-01,2024-08-02,Approved,553000,457000,462000,1,0,2,Final,Construction Change Directive,2024-08-06,Specialties
CO-00325,PRJ-025,CO-007,Quantity Variation - Controls Area C1,Quantity Variation,Engineer,Controls,Additive,Design Revision,2024-05-10,2024-05-28,2024-06-17,2024-06-15,2024-07-03,2024-07-13,Approved,56000,55000,53000,0,0,1,Final,Executed Change Order,2024-07-26,Interiors
CO-00326,PRJ-025,CO-008,Unforeseen Condition - Plumbing Area B1,Unforeseen Condition,Subcontractor,Plumbing,Additive,Field Condition,2024-06-08,2024-06-14,2024-07-04,2024-06-26,,,Pending,729000,,,0,0,0,Negotiating,None,,General Conditions
CO-00327,PRJ-025,CO-009,Owner-Directed Change - Civil Area B1,Owner-Directed Change,Architect,Civil,Additive,Owner Request,2024-03-19,2024-04-04,2024-04-24,2024-05-26,2024-06-22,2024-06-27,Approved,109000,101000,100000,0,0,0,Final,Executed Change Order,2024-06-27,Envelope
CO-00328,PRJ-025,CO-010,Scope Clarification - Architectural Area B7,Scope Clarification,Architect,Architectural,Additive,Field Condition,2024-03-09,2024-03-24,2024-04-13,2024-04-17,2024-05-04,2024-05-14,Approved,154000,128000,130000,0,0,0,Final,Executed Change Order,2024-05-07,General Conditions
CO-00329,PRJ-025,CO-011,Design Error or Omission - Electrical Area D8,Design Error or Omission,Architect,Electrical,Additive,Design Revision,2023-11-11,2023-11-20,2023-12-10,2024-01-05,,,Pending,70000,,,3,0,1,Pricing in Progress,None,,Metals
CO-00330,PRJ-025,CO-012,Design Error or Omission - General Area B7,Design Error or Omission,Construction Manager,General,Additive,Submittal Review,2024-06-12,2024-06-14,2024-07-04,2024-06-25,,,Pending,112000,,,17,0,0,Submitted,None,,MEP
CO-00331,PRJ-025,CO-013,Value Engineering - Structural Area A5,Value Engineering,Owner,Structural,Additive,Owner Request,2023-08-29,2023-09-07,2023-09-27,2023-09-28,,,Pending,77000,,,0,0,1,Pricing in Progress,None,,Envelope
CO-00332,PRJ-025,CO-014,Design Error or Omission - Structural Area D4,Design Error or Omission,General Contractor,Structural,Additive,Design Revision,2023-09-12,2023-09-16,2023-10-06,2023-10-29,,2023-11-30,Withdrawn,154000,,0,0,0,2,Pricing in Progress,None,,General Conditions
CO-00333,PRJ-025,CO-015,Code or Regulatory Requirement - Mechanical Area D4,Code or Regulatory Requirement,Construction Manager,Mechanical,Additive,RFI,2023-12-30,2024-01-05,2024-01-25,2024-01-28,2024-02-15,2024-02-19,Approved,84000,73000,72000,0,0,1,Final,Construction Change Directive,2024-02-21,Metals
CO-00334,PRJ-025,CO-016,Substitution - Controls Area A2,Substitution,Subcontractor,Controls,Additive,RFI,2024-03-14,2024-03-21,2024-04-10,2024-04-05,2024-04-26,2024-05-03,Approved,11000,9800,9900,0,0,0,Final,Executed Change Order,2024-04-29,MEP
CO-00335,PRJ-026,CO-001,Scope Clarification - Plumbing Area A9,Scope Clarification,Construction Manager,Plumbing,Additive,Design Revision,2025-09-01,2025-09-03,2025-09-23,2025-09-07,,,Pending,244000,,,3,0,0,Negotiating,None,,General Conditions
CO-00336,PRJ-026,CO-002,Substitution - Plumbing Area B5,Substitution,Construction Manager,Plumbing,Additive,Design Revision,2025-10-28,2025-11-07,2025-11-27,2025-11-10,,,Pending,94000,87000,,1,0,0,Pricing in Progress,None,,General Conditions
CO-00337,PRJ-026,CO-003,Design Error or Omission - Architectural Area B10,Design Error or Omission,Engineer,Architectural,Additive,Submittal Review,2024-05-23,2024-05-29,2024-06-18,2024-06-05,2024-06-18,2024-06-25,Approved,106000,102000,98000,0,0,0,Final,Executed Change Order,2024-06-23,Interiors
CO-00338,PRJ-026,CO-004,Quantity Variation - Architectural Area B6,Quantity Variation,Engineer,Architectural,Additive,Design Revision,2023-11-20,2023-11-24,2023-12-14,2023-12-06,2023-12-17,2023-12-22,Approved,233000,240000,234000,0,0,1,Final,Executed Change Order,2023-12-26,MEP
CO-00339,PRJ-026,CO-005,Owner-Directed Change - Electrical Area B9,Owner-Directed Change,Owner,Electrical,Additive,Owner Request,2024-06-12,2024-06-14,2024-07-04,2024-06-20,2024-06-26,2024-06-28,Approved,323000,310000,307000,0,0,0,Final,Owner Authorization,2024-07-06,Concrete
CO-00340,PRJ-026,CO-006,Design Error or Omission - Controls Area A5,Design Error or Omission,Architect,Controls,Additive,RFI,2024-03-14,2024-03-17,2024-04-06,2024-04-05,2024-04-14,2024-04-19,Approved,2753000,2318000,2301000,6,3,0,Final,Executed Change Order,,Specialties
CO-00341,PRJ-026,CO-007,Substitution - Mechanical Area A8,Substitution,General Contractor,Mechanical,Additive,RFI,2025-05-08,2025-05-09,2025-05-29,2025-05-14,,,Pending,207000,,,6,0,0,ROM,None,,Envelope
CO-00342,PRJ-027,CO-001,Quantity Variation - General Area D9,Quantity Variation,Owner,General,Deductive,RFI,2022-02-17,2022-03-03,2022-03-23,2022-03-15,,,Pending,-431000,,,4,0,1,Pricing in Progress,None,,Interiors
CO-00343,PRJ-027,CO-002,Owner-Directed Change - General Area A7,Owner-Directed Change,Owner,General,Additive,Owner Request,2022-05-30,2022-06-08,2022-06-28,2022-06-15,,,Pending,2104000,,,0,0,0,ROM,None,,Equipment
CO-00344,PRJ-027,CO-003,Owner-Directed Change - Controls Area A9,Owner-Directed Change,Construction Manager,Controls,Additive,Owner Request,2022-05-10,2022-05-12,2022-06-01,2022-06-13,2022-07-06,2022-07-16,Approved,564000,511000,506000,11,8,0,Final,Executed Change Order,2022-07-12,Concrete
CO-00345,PRJ-027,CO-004,Quantity Variation - Specialty Systems Area A2,Quantity Variation,General Contractor,Specialty Systems,Additive,Owner Request,2022-05-06,2022-05-10,2022-05-30,2022-05-16,2022-05-25,2022-05-27,Approved,776000,607000,606000,0,0,0,Final,Construction Change Directive,2022-06-03,Interiors
CO-00346,PRJ-027,CO-005,Unforeseen Condition - Mechanical Area B3,Unforeseen Condition,Owner,Mechanical,Additive,Field Condition,2022-03-22,2022-04-02,2022-04-22,2022-04-22,,,Pending,352000,,,0,0,1,Negotiating,None,,Sitework
CO-00347,PRJ-027,CO-006,Substitution - Structural Area D6,Substitution,Construction Manager,Structural,Zero-Cost,Design Revision,2022-03-06,2022-03-08,2022-03-28,2022-03-20,2022-04-05,2022-04-11,Approved,0,0,0,0,0,0,Final,Executed Change Order,2022-04-10,MEP
CO-00348,PRJ-027,CO-007,Schedule Acceleration - Structural Area C1,Schedule Acceleration,Owner,Structural,Zero-Cost,Submittal Review,2022-01-13,2022-01-20,2022-02-09,2022-01-28,,2022-02-04,Withdrawn,0,,0,0,0,0,ROM,None,,Envelope
CO-00349,PRJ-027,CO-008,Substitution - Civil Area D4,Substitution,Owner,Civil,Additive,RFI,2022-05-15,2022-05-21,2022-06-10,2022-06-15,2022-07-19,2022-07-21,Approved,305000,278000,273000,0,0,1,Final,Owner Authorization,2022-08-01,Interiors
CO-00350,PRJ-027,CO-009,Code or Regulatory Requirement - Specialty Systems Area D3,Code or Regulatory Requirement,Subcontractor,Specialty Systems,Deductive,Owner Request,2022-01-16,2022-01-23,2022-02-12,2022-02-04,,,Pending,-216000,,,0,0,0,Submitted,None,,Envelope
CO-00351,PRJ-027,CO-010,Quantity Variation - Plumbing Area D4,Quantity Variation,Architect,Plumbing,Additive,Schedule Recovery,2022-02-25,2022-02-28,2022-03-20,2022-03-12,,,Pending,1276000,,,0,0,1,Negotiating,None,,Metals
CO-00352,PRJ-027,CO-011,Design Error or Omission - Structural Area C10,Design Error or Omission,Construction Manager,Structural,Additive,RFI,2022-01-01,2022-01-10,2022-01-30,2022-01-22,2022-02-02,2022-02-08,Approved,255000,220000,223000,0,0,0,Final,Field Directive,2022-02-05,Concrete
CO-00353,PRJ-027,CO-012,Design Error or Omission - Mechanical Area D3,Design Error or Omission,Engineer,Mechanical,Zero-Cost,Design Revision,2022-02-26,2022-03-02,2022-03-22,2022-03-22,,2022-04-09,Withdrawn,0,,0,4,0,1,Submitted,None,,Envelope
CO-00354,PRJ-027,CO-013,Schedule Acceleration - Specialty Systems Area B5,Schedule Acceleration,Owner,Specialty Systems,Additive,RFI,2022-04-19,2022-04-24,2022-05-14,2022-05-05,2022-05-25,2022-05-30,Approved,572000,500000,505000,8,5,1,Final,Owner Authorization,2022-05-27,Metals
CO-00355,PRJ-027,CO-014,Design Error or Omission - Specialty Systems Area B1,Design Error or Omission,Engineer,Specialty Systems,Additive,Design Revision,2022-03-08,2022-03-27,2022-04-16,2022-04-06,,,Pending,1111000,1125000,,0,0,0,Pricing in Progress,None,,General Conditions
CO-00356,PRJ-027,CO-015,Unforeseen Condition - Electrical Area B8,Unforeseen Condition,General Contractor,Electrical,Additive,Field Condition,2022-01-05,2022-01-09,2022-01-29,2022-01-25,2022-02-12,2022-02-17,Approved,667000,670000,657000,0,0,1,Final,Executed Change Order,2022-02-17,Concrete
CO-00357,PRJ-027,CO-016,Code or Regulatory Requirement - Electrical Area A5,Code or Regulatory Requirement,Authority Having Jurisdiction,Electrical,Additive,Schedule Recovery,2022-04-15,2022-04-22,2022-05-12,2022-05-12,,2022-05-29,Withdrawn,508000,,0,12,0,1,ROM,None,,Metals
CO-00358,PRJ-027,CO-017,Scope Clarification - Structural Area C9,Scope Clarification,General Contractor,Structural,Additive,Schedule Recovery,2022-01-11,2022-01-13,2022-02-02,2022-01-22,2022-02-05,2022-02-12,Approved,359000,277000,272000,0,0,1,Final,Executed Change Order,2022-02-06,General Conditions
CO-00359,PRJ-027,CO-018,Scope Clarification - Mechanical Area D8,Scope Clarification,Architect,Mechanical,Additive,Field Condition,2022-04-02,2022-04-14,2022-05-04,2022-04-29,2022-05-10,2022-05-15,Approved,339000,322000,315000,0,0,1,Final,Owner Authorization,2022-05-14,Specialties
CO-00360,PRJ-027,CO-019,Quantity Variation - General Area B6,Quantity Variation,Owner,General,Additive,Design Revision,2022-02-22,2022-02-27,2022-03-19,2022-03-13,,2022-03-20,Withdrawn,671000,,0,0,0,0,ROM,None,,Specialties
CO-00361,PRJ-028,CO-001,Scope Clarification - Electrical Area D4,Scope Clarification,Engineer,Electrical,Additive,Design Revision,2022-07-04,2022-07-10,2022-07-30,2022-07-22,,,Pending,296000,270000,,0,0,0,Pricing in Progress,None,,MEP
CO-00362,PRJ-028,CO-002,Unforeseen Condition - Architectural Area C1,Unforeseen Condition,Subcontractor,Architectural,Additive,RFI,2023-02-06,2023-02-13,2023-03-05,2023-02-25,,,Pending,141000,148000,,0,0,1,Submitted,None,,General Conditions
CO-00363,PRJ-028,CO-003,Substitution - Fire Protection Area D2,Substitution,Engineer,Fire Protection,Zero-Cost,Design Revision,2022-11-06,2022-11-13,2022-12-03,2022-11-19,,2022-12-05,Rejected,0,0,0,0,0,0,Final,None,,Envelope
CO-00364,PRJ-028,CO-004,Value Engineering - Civil Area A9,Value Engineering,Authority Having Jurisdiction,Civil,Additive,Owner Request,2022-12-18,2022-12-22,2023-01-11,2023-01-14,,,Pending,522000,,,0,0,0,Negotiating,None,,Sitework
CO-00365,PRJ-028,CO-005,Scope Clarification - Plumbing Area B8,Scope Clarification,Architect,Plumbing,Additive,Field Condition,2022-12-15,2022-12-26,2023-01-15,2022-12-30,2023-01-08,2023-01-16,Approved,60000,60000,59000,6,4,0,Final,Field Directive,2023-01-09,Envelope
CO-00366,PRJ-028,CO-006,Substitution - Fire Protection Area A1,Substitution,Authority Having Jurisdiction,Fire Protection,Additive,Design Revision,2022-04-04,2022-04-08,2022-04-28,2022-04-23,,2022-04-30,Withdrawn,203000,,0,3,0,0,Submitted,None,,General Conditions
CO-00367,PRJ-028,CO-007,Value Engineering - Plumbing Area B3,Value Engineering,Owner,Plumbing,Deductive,Owner Request,2022-05-25,2022-05-27,2022-06-16,2022-06-04,2022-06-09,2022-06-19,Approved,-154000,-147000,-150000,0,0,0,Final,Owner Authorization,2022-06-12,Concrete
CO-00368,PRJ-028,CO-008,Unforeseen Condition - Civil Area C6,Unforeseen Condition,Construction Manager,Civil,Deductive,Field Condition,2022-02-05,2022-02-12,2022-03-04,2022-02-20,2022-02-26,2022-03-01,Approved,-240000,-243000,-247000,0,0,0,Final,Owner Authorization,2022-03-04,MEP
CO-00369,PRJ-028,CO-009,Substitution - Mechanical Area B6,Substitution,Construction Manager,Mechanical,Additive,Schedule Recovery,2023-02-04,2023-02-10,2023-03-02,2023-02-20,,2023-03-07,Withdrawn,85000,,0,3,0,0,Submitted,None,,Metals
CO-00370,PRJ-028,CO-010,Design Error or Omission - Specialty Systems Area A8,Design Error or Omission,Engineer,Specialty Systems,Additive,RFI,2022-05-21,2022-05-25,2022-06-14,2022-06-10,2022-06-30,2022-07-07,Approved,676000,537000,545000,3,2,1,Final,Field Directive,2022-07-07,Sitework
CO-00371,PRJ-029,CO-001,Owner-Directed Change - Mechanical Area D10,Owner-Directed Change,Owner,Mechanical,Additive,Owner Request,2023-01-05,2023-02-03,2023-02-23,2023-02-19,2023-03-07,2023-03-11,Approved,1031000,799000,808000,0,0,1,Final,Owner Authorization,2023-03-12,Sitework
CO-00372,PRJ-029,CO-002,Quantity Variation - Mechanical Area D5,Quantity Variation,Construction Manager,Mechanical,Additive,Schedule Recovery,2022-04-08,2022-04-20,2022-05-10,2022-05-14,,2022-05-28,Withdrawn,53000,,0,0,0,0,ROM,None,,Concrete
CO-00373,PRJ-029,CO-003,Substitution - Mechanical Area B6,Substitution,General Contractor,Mechanical,Additive,Owner Request,2023-07-09,2023-07-12,2023-08-01,2023-07-18,2023-07-23,2023-07-24,Approved,26000,27000,27000,0,0,0,Final,Executed Change Order,2023-08-02,MEP
CO-00374,PRJ-029,CO-004,Code or Regulatory Requirement - Controls Area A10,Code or Regulatory Requirement,Subcontractor,Controls,Additive,Field Condition,2022-05-01,2022-05-16,2022-06-05,2022-05-31,,2022-06-29,Rejected,93000,67000,0,0,0,1,Final,None,,General Conditions
CO-00375,PRJ-029,CO-005,Design Error or Omission - General Area A4,Design Error or Omission,Engineer,General,Deductive,Submittal Review,2022-08-03,2022-08-29,2022-09-18,2022-09-07,,2022-09-24,Rejected,-247000,-105000,0,6,0,0,Final,None,,Interiors
CO-00376,PRJ-029,CO-006,Owner-Directed Change - Structural Area A8,Owner-Directed Change,Owner,Structural,Additive,Owner Request,2022-06-08,2022-06-11,2022-07-01,2022-07-03,2022-07-18,2022-07-28,Approved,274000,230000,226000,0,0,0,Final,Owner Authorization,2022-07-21,MEP
CO-00377,PRJ-029,CO-007,Design Error or Omission - Structural Area A9,Design Error or Omission,Architect,Structural,Additive,RFI,2022-12-16,2022-12-24,2023-01-13,2023-01-08,2023-01-16,2023-01-21,Approved,41000,33000,33000,0,0,1,Final,Executed Change Order,2023-01-19,Interiors
CO-00378,PRJ-029,CO-008,Owner-Directed Change - Structural Area A2,Owner-Directed Change,Owner,Structural,Additive,Owner Request,2023-01-13,2023-01-31,2023-02-20,2023-02-13,,,Pending,793000,761000,,1,0,1,Submitted,None,,Metals
CO-00379,PRJ-029,CO-009,Substitution - Mechanical Area A10,Substitution,General Contractor,Mechanical,Additive,RFI,2023-05-08,2023-05-14,2023-06-03,2023-05-23,2023-05-31,2023-06-03,Approved,832000,679000,656000,4,3,0,Final,Executed Change Order,2023-06-02,Envelope
CO-00380,PRJ-029,CO-010,Unforeseen Condition - Plumbing Area D2,Unforeseen Condition,General Contractor,Plumbing,Additive,Field Condition,2022-10-10,2022-10-21,2022-11-10,2022-10-26,,2022-11-09,Rejected,237000,113000,0,15,0,0,Final,None,,General Conditions
CO-00381,PRJ-029,CO-011,Design Error or Omission - Civil Area C5,Design Error or Omission,Engineer,Civil,Additive,Submittal Review,2023-08-28,2023-09-05,2023-09-25,2023-09-10,2023-09-19,2023-09-23,Approved,154000,125000,124000,0,0,0,Final,Owner Authorization,2023-09-20,Specialties
CO-00382,PRJ-029,CO-012,Owner-Directed Change - General Area C4,Owner-Directed Change,Owner,General,Deductive,Owner Request,2022-12-19,2022-12-24,2023-01-13,2022-12-29,,2023-01-04,Rejected,-173000,-106000,0,0,0,0,Final,None,,Interiors
CO-00383,PRJ-029,CO-013,Owner-Directed Change - Plumbing Area B4,Owner-Directed Change,General Contractor,Plumbing,Additive,Owner Request,2022-09-17,2022-09-27,2022-10-17,2022-10-05,,2022-10-23,Rejected,341000,178000,0,36,0,0,Final,None,,MEP
