Event_ID,Project_ID,Item_Type,Item_ID,Event_Sequence,Event_Timestamp,From_Status,To_Status,Action_By_Role,Assigned_To_Role,Event_Action,Revision_Number,Decision_Required_Flag,Comment_Category
EVT-000722,PRJ-010,RFI,RFI-00325,1,2024-01-31T08:00,,Submitted,General Contractor,Architect,Submit,0,Yes,Initial submission
EVT-000723,PRJ-010,RFI,RFI-00325,2,2024-02-05T15:00,Submitted,Closed,Architect,General Contractor,Respond and close,0,No,Final response
EVT-000724,PRJ-010,RFI,RFI-00326,1,2023-12-31T08:00,,Submitted,General Contractor,Construction Manager,Submit,0,Yes,Initial submission
EVT-000725,PRJ-010,RFI,RFI-00326,2,2024-01-01T13:00,Submitted,Returned for Clarification,Construction Manager,General Contractor,Return,1,Yes,Insufficient information
EVT-000726,PRJ-010,RFI,RFI-00326,3,2024-01-09T15:00,Returned for Clarification,Closed,Construction Manager,General Contractor,Respond and close,1,No,Final response
EVT-000727,PRJ-010,RFI,RFI-00327,1,2022-06-02T08:00,,Submitted,General Contractor,Engineer,Submit,0,Yes,Initial submission
EVT-000728,PRJ-010,RFI,RFI-00327,2,2022-06-07T15:00,Submitted,Closed,Engineer,General Contractor,Respond and close,0,No,Final response
EVT-000729,PRJ-010,RFI,RFI-00328,1,2023-03-19T08:00,,Submitted,Subcontractor,Engineer,Submit,0,Yes,Initial submission
EVT-000730,PRJ-010,RFI,RFI-00328,2,2023-03-25T15:00,Submitted,Closed,Engineer,Subcontractor,Respond and close,0,No,Final response
EVT-000731,PRJ-010,RFI,RFI-00329,1,2022-08-15T08:00,,Submitted,Construction Manager,Engineer,Submit,0,Yes,Initial submission
EVT-000732,PRJ-010,RFI,RFI-00329,2,2022-08-19T13:00,Submitted,Returned for Clarification,Engineer,Construction Manager,Return,1,Yes,Insufficient information
EVT-000733,PRJ-010,RFI,RFI-00329,3,2022-08-25T15:00,Returned for Clarification,Answered,Engineer,Construction Manager,Respond,1,No,Final response
EVT-000734,PRJ-010,RFI,RFI-00330,1,2023-11-02T08:00,,Submitted,Construction Manager,Architect,Submit,0,Yes,Initial submission
EVT-000735,PRJ-010,RFI,RFI-00330,2,2023-11-07T15:00,Submitted,Closed,Architect,Construction Manager,Respond and close,0,No,Final response
EVT-000736,PRJ-010,RFI,RFI-00331,1,2024-02-12T08:00,,Submitted,Construction Manager,Engineer,Submit,0,Yes,Initial submission
EVT-000737,PRJ-010,RFI,RFI-00331,2,2024-02-22T13:00,Submitted,Returned for Clarification,Engineer,Construction Manager,Return,1,Yes,Insufficient information
EVT-000738,PRJ-010,RFI,RFI-00331,3,2024-02-29T15:00,Returned for Clarification,Answered,Engineer,Construction Manager,Respond,1,No,Final response
EVT-000739,PRJ-010,RFI,RFI-00332,1,2024-02-19T08:00,,Submitted,Subcontractor,Architect,Submit,0,Yes,Initial submission
EVT-000740,PRJ-010,RFI,RFI-00332,2,2024-02-21T13:00,Submitted,Returned for Clarification,Architect,Subcontractor,Return,1,Yes,Insufficient information
EVT-000741,PRJ-010,RFI,RFI-00332,3,2024-03-01T15:00,Returned for Clarification,Answered,Architect,Subcontractor,Respond,1,No,Final response
EVT-000742,PRJ-010,RFI,RFI-00333,1,2022-06-10T08:00,,Submitted,General Contractor,Engineer,Submit,0,Yes,Initial submission
EVT-000743,PRJ-010,RFI,RFI-00333,2,2022-07-09T13:00,Submitted,Returned for Clarification,Engineer,General Contractor,Return,1,Yes,Insufficient information
EVT-000744,PRJ-010,RFI,RFI-00333,3,2022-07-15T15:00,Returned for Clarification,Closed,Engineer,General Contractor,Respond and close,2,No,Final response
EVT-000745,PRJ-010,RFI,RFI-00334,1,2023-06-02T08:00,,Submitted,General Contractor,Engineer,Submit,0,Yes,Initial submission
EVT-000746,PRJ-010,RFI,RFI-00334,2,2023-06-10T15:00,Submitted,Closed,Engineer,General Contractor,Respond and close,0,No,Final response
EVT-000747,PRJ-010,RFI,RFI-00335,1,2023-02-11T08:00,,Submitted,Subcontractor,Engineer,Submit,0,Yes,Initial submission
EVT-000748,PRJ-010,RFI,RFI-00335,2,2023-02-17T15:00,Submitted,Closed,Engineer,Subcontractor,Respond and close,0,No,Final response
EVT-000749,PRJ-010,RFI,RFI-00336,1,2022-08-22T08:00,,Submitted,General Contractor,Architect,Submit,0,Yes,Initial submission
EVT-000750,PRJ-010,RFI,RFI-00336,2,2022-08-31T15:00,Submitted,Closed,Architect,General Contractor,Respond and close,0,No,Final response
EVT-000751,PRJ-010,RFI,RFI-00337,1,2023-02-15T08:00,,Submitted,General Contractor,Engineer,Submit,0,Yes,Initial submission
EVT-000752,PRJ-010,RFI,RFI-00337,2,2023-03-02T15:00,Submitted,Closed,Engineer,General Contractor,Respond and close,0,No,Final response
EVT-000753,PRJ-010,RFI,RFI-00338,1,2023-07-11T08:00,,Submitted,General Contractor,Architect,Submit,0,Yes,Initial submission
EVT-000754,PRJ-010,RFI,RFI-00338,2,2023-07-22T13:00,Submitted,Returned for Clarification,Architect,General Contractor,Return,1,Yes,Insufficient information
EVT-000755,PRJ-010,RFI,RFI-00338,3,2023-07-27T15:00,Returned for Clarification,Answered,Architect,General Contractor,Respond,1,No,Final response
EVT-000756,PRJ-010,RFI,RFI-00339,1,2022-04-12T08:00,,Submitted,General Contractor,Engineer,Submit,0,Yes,Initial submission
EVT-000757,PRJ-010,RFI,RFI-00339,2,2022-04-18T15:00,Submitted,Closed,Engineer,General Contractor,Respond and close,0,No,Final response
EVT-000758,PRJ-010,RFI,RFI-00340,1,2023-12-12T08:00,,Submitted,Subcontractor,Engineer,Submit,0,Yes,Initial submission
EVT-000759,PRJ-010,RFI,RFI-00340,2,2023-12-16T15:00,Submitted,Answered,Engineer,Subcontractor,Respond,0,No,Final response
EVT-000760,PRJ-010,RFI,RFI-00341,1,2023-06-28T08:00,,Submitted,Construction Manager,Engineer,Submit,0,Yes,Initial submission
EVT-000761,PRJ-010,RFI,RFI-00341,2,2023-07-03T13:00,Submitted,Returned for Clarification,Engineer,Construction Manager,Return,1,Yes,Insufficient information
EVT-000762,PRJ-010,RFI,RFI-00341,3,2023-07-09T15:00,Returned for Clarification,Closed,Engineer,Construction Manager,Respond and close,1,No,Final response
EVT-000763,PRJ-010,RFI,RFI-00342,1,2022-10-25T08:00,,Submitted,Subcontractor,Design Manager,Submit,0,Yes,Initial submission
EVT-000764,PRJ-010,RFI,RFI-00342,2,2022-11-04T15:00,Submitted,Closed,Design Manager,Subcontractor,Respond and close,0,No,Final response
EVT-000765,PRJ-010,RFI,RFI-00343,1,2022-11-04T08:00,,Submitted,Construction Manager,Construction Manager,Submit,0,Yes,Initial submission
EVT-000766,PRJ-010,RFI,RFI-00343,2,2022-11-13T15:00,Submitted,Closed,Construction Manager,Construction Manager,Respond and close,0,No,Final response
EVT-000767,PRJ-010,RFI,RFI-00344,1,2022-01-28T08:00,,Submitted,Subcontractor,Owner Representative,Submit,0,Yes,Initial submission
EVT-000768,PRJ-010,RFI,RFI-00344,2,2022-02-14T15:00,Submitted,Closed,Owner Representative,Subcontractor,Respond and close,0,No,Final response
EVT-000769,PRJ-010,RFI,RFI-00345,1,2023-12-01T08:00,,Submitted,Subcontractor,Engineer,Submit,0,Yes,Initial submission
EVT-000770,PRJ-010,RFI,RFI-00345,2,2023-12-10T15:00,Submitted,Closed,Engineer,Subcontractor,Respond and close,0,No,Final response
EVT-000771,PRJ-010,RFI,RFI-00346,1,2023-10-19T08:00,,Submitted,Subcontractor,Architect,Submit,0,Yes,Initial submission
EVT-000772,PRJ-010,RFI,RFI-00346,2,2023-10-23T15:00,Submitted,Answered,Architect,Subcontractor,Respond,0,No,Final response
EVT-000773,PRJ-010,RFI,RFI-00347,1,2022-12-22T08:00,,Submitted,General Contractor,Engineer,Submit,0,Yes,Initial submission
EVT-000774,PRJ-010,RFI,RFI-00347,2,2022-12-25T15:00,Submitted,Answered,Engineer,General Contractor,Respond,0,No,Final response
EVT-000775,PRJ-010,RFI,RFI-00348,1,2023-10-06T08:00,,Submitted,Subcontractor,Engineer,Submit,0,Yes,Initial submission
EVT-000776,PRJ-010,RFI,RFI-00348,2,2023-10-16T15:00,Submitted,Closed,Engineer,Subcontractor,Respond and close,0,No,Final response
EVT-000777,PRJ-010,RFI,RFI-00349,1,2023-01-29T08:00,,Submitted,Construction Manager,Owner Representative,Submit,0,Yes,Initial submission
EVT-000778,PRJ-010,RFI,RFI-00349,2,2023-02-05T13:00,Submitted,Returned for Clarification,Owner Representative,Construction Manager,Return,1,Yes,Insufficient information
EVT-000779,PRJ-010,RFI,RFI-00349,3,2023-02-04T11:00,Submitted,Open,Design Manager,Owner Representative,Assign or escalate,1,Yes,Current open status
EVT-000780,PRJ-010,RFI,RFI-00350,1,2024-03-27T08:00,,Submitted,Subcontractor,Owner Representative,Submit,0,Yes,Initial submission
EVT-000781,PRJ-010,RFI,RFI-00350,2,2024-04-12T15:00,Submitted,Closed,Owner Representative,Subcontractor,Respond and close,0,No,Final response
EVT-000782,PRJ-011,RFI,RFI-00351,1,2022-11-28T08:00,,Submitted,Subcontractor,Engineer,Submit,0,Yes,Initial submission
EVT-000783,PRJ-011,RFI,RFI-00351,2,2022-12-04T13:00,Submitted,Returned for Clarification,Engineer,Subcontractor,Return,1,Yes,Insufficient information
EVT-000784,PRJ-011,RFI,RFI-00351,3,2022-12-10T15:00,Returned for Clarification,Closed,Engineer,Subcontractor,Respond and close,1,No,Final response
EVT-000785,PRJ-011,RFI,RFI-00352,1,2022-04-16T08:00,,Submitted,General Contractor,Engineer,Submit,0,Yes,Initial submission
EVT-000786,PRJ-011,RFI,RFI-00352,2,2022-04-20T15:00,Submitted,Closed,Engineer,General Contractor,Respond and close,0,No,Final response
EVT-000787,PRJ-011,RFI,RFI-00353,1,2023-05-25T08:00,,Submitted,Subcontractor,Design Manager,Submit,0,Yes,Initial submission
EVT-000788,PRJ-011,RFI,RFI-00353,2,2023-06-14T15:00,Submitted,Closed,Design Manager,Subcontractor,Respond and close,0,No,Final response
EVT-000789,PRJ-011,RFI,RFI-00354,1,2023-08-17T08:00,,Submitted,Subcontractor,Engineer,Submit,0,Yes,Initial submission
EVT-000790,PRJ-011,RFI,RFI-00354,2,2023-08-31T15:00,Submitted,Closed,Engineer,Subcontractor,Respond and close,0,No,Final response
EVT-000791,PRJ-011,RFI,RFI-00355,1,2023-12-24T08:00,,Submitted,Subcontractor,Engineer,Submit,0,Yes,Initial submission
EVT-000792,PRJ-011,RFI,RFI-00355,2,2023-12-29T15:00,Submitted,Answered,Engineer,Subcontractor,Respond,0,No,Final response
EVT-000793,PRJ-011,RFI,RFI-00356,1,2022-06-08T08:00,,Submitted,General Contractor,Construction Manager,Submit,0,Yes,Initial submission
EVT-000794,PRJ-011,RFI,RFI-00356,2,2022-06-11T15:00,Submitted,Closed,Construction Manager,General Contractor,Respond and close,0,No,Final response
EVT-000795,PRJ-011,RFI,RFI-00357,1,2023-07-21T08:00,,Submitted,General Contractor,Engineer,Submit,0,Yes,Initial submission
EVT-000796,PRJ-011,RFI,RFI-00357,2,2023-08-03T13:00,Submitted,Returned for Clarification,Engineer,General Contractor,Return,1,Yes,Insufficient information
EVT-000797,PRJ-011,RFI,RFI-00357,3,2023-08-07T15:00,Returned for Clarification,Answered,Engineer,General Contractor,Respond,1,No,Final response
EVT-000798,PRJ-011,RFI,RFI-00358,1,2022-05-09T08:00,,Submitted,Subcontractor,Construction Manager,Submit,0,Yes,Initial submission
EVT-000799,PRJ-011,RFI,RFI-00358,2,2022-05-19T15:00,Submitted,Closed,Construction Manager,Subcontractor,Respond and close,0,No,Final response
EVT-000800,PRJ-011,RFI,RFI-00359,1,2022-05-11T08:00,,Submitted,Subcontractor,Engineer,Submit,0,Yes,Initial submission
EVT-000801,PRJ-011,RFI,RFI-00359,2,2022-05-25T15:00,Submitted,Closed,Engineer,Subcontractor,Respond and close,0,No,Final response
EVT-000802,PRJ-011,RFI,RFI-00360,1,2022-12-02T08:00,,Submitted,Subcontractor,Engineer,Submit,0,Yes,Initial submission
EVT-000803,PRJ-011,RFI,RFI-00360,2,2022-12-10T15:00,Submitted,Closed,Engineer,Subcontractor,Respond and close,0,No,Final response
EVT-000804,PRJ-011,RFI,RFI-00361,1,2022-04-28T08:00,,Submitted,Subcontractor,Architect,Submit,0,Yes,Initial submission
EVT-000805,PRJ-011,RFI,RFI-00361,2,2022-05-06T11:00,Submitted,In Review,Design Manager,Architect,Assign or escalate,0,Yes,Current open status
EVT-000806,PRJ-011,RFI,RFI-00362,1,2023-06-29T08:00,,Submitted,General Contractor,Engineer,Submit,0,Yes,Initial submission
EVT-000807,PRJ-011,RFI,RFI-00362,2,2023-07-09T15:00,Submitted,Closed,Engineer,General Contractor,Respond and close,0,No,Final response
EVT-000808,PRJ-011,RFI,RFI-00363,1,2023-11-25T08:00,,Submitted,General Contractor,Engineer,Submit,0,Yes,Initial submission
EVT-000809,PRJ-011,RFI,RFI-00363,2,2023-12-02T15:00,Submitted,Closed,Engineer,General Contractor,Respond and close,0,No,Final response
EVT-000810,PRJ-011,RFI,RFI-00364,1,2022-10-08T08:00,,Submitted,Subcontractor,Engineer,Submit,0,Yes,Initial submission
EVT-000811,PRJ-011,RFI,RFI-00364,2,2022-10-14T15:00,Submitted,Closed,Engineer,Subcontractor,Respond and close,0,No,Final response
EVT-000812,PRJ-011,RFI,RFI-00365,1,2022-11-06T08:00,,Submitted,Subcontractor,Architect,Submit,0,Yes,Initial submission
EVT-000813,PRJ-011,RFI,RFI-00365,2,2022-11-25T15:00,Submitted,Closed,Architect,Subcontractor,Respond and close,0,No,Final response
EVT-000814,PRJ-011,RFI,RFI-00366,1,2022-04-02T08:00,,Submitted,Subcontractor,Engineer,Submit,0,Yes,Initial submission
EVT-000815,PRJ-011,RFI,RFI-00366,2,2022-04-15T15:00,Submitted,Closed,Engineer,Subcontractor,Respond and close,0,No,Final response
EVT-000816,PRJ-011,RFI,RFI-00367,1,2022-08-24T08:00,,Submitted,Construction Manager,Architect,Submit,0,Yes,Initial submission
EVT-000817,PRJ-011,RFI,RFI-00367,2,2022-08-28T15:00,Submitted,Answered,Architect,Construction Manager,Respond,0,No,Final response
EVT-000818,PRJ-011,RFI,RFI-00368,1,2023-09-06T08:00,,Submitted,Subcontractor,Engineer,Submit,0,Yes,Initial submission
EVT-000819,PRJ-011,RFI,RFI-00368,2,2023-09-10T15:00,Submitted,Closed,Engineer,Subcontractor,Respond and close,0,No,Final response
EVT-000820,PRJ-011,RFI,RFI-00369,1,2022-10-08T08:00,,Submitted,Subcontractor,Construction Manager,Submit,0,Yes,Initial submission
EVT-000821,PRJ-011,RFI,RFI-00369,2,2022-10-15T13:00,Submitted,Returned for Clarification,Construction Manager,Subcontractor,Return,1,Yes,Insufficient information
EVT-000822,PRJ-011,RFI,RFI-00369,3,2022-10-16T11:00,Submitted,In Review,Design Manager,Construction Manager,Assign or escalate,1,Yes,Current open status
EVT-000823,PRJ-011,RFI,RFI-00370,1,2024-02-23T08:00,,Submitted,Subcontractor,Engineer,Submit,0,Yes,Initial submission
EVT-000824,PRJ-011,RFI,RFI-00370,2,2024-03-04T15:00,Submitted,Closed,Engineer,Subcontractor,Respond and close,0,No,Final response
EVT-000825,PRJ-011,RFI,RFI-00371,1,2022-11-02T08:00,,Submitted,Subcontractor,Engineer,Submit,0,Yes,Initial submission
EVT-000826,PRJ-011,RFI,RFI-00371,2,2022-11-11T15:00,Submitted,Answered,Engineer,Subcontractor,Respond,0,No,Final response
EVT-000827,PRJ-011,RFI,RFI-00372,1,2023-07-18T08:00,,Submitted,Subcontractor,Engineer,Submit,0,Yes,Initial submission
EVT-000828,PRJ-011,RFI,RFI-00372,2,2023-07-22T15:00,Submitted,Closed,Engineer,Subcontractor,Respond and close,0,No,Final response
EVT-000829,PRJ-011,RFI,RFI-00373,1,2023-06-23T08:00,,Submitted,Subcontractor,Engineer,Submit,0,Yes,Initial submission
EVT-000830,PRJ-011,RFI,RFI-00373,2,2023-07-12T15:00,Submitted,Closed,Engineer,Subcontractor,Respond and close,0,No,Final response
EVT-000831,PRJ-011,RFI,RFI-00374,1,2023-12-25T08:00,,Submitted,Subcontractor,Owner Representative,Submit,0,Yes,Initial submission
EVT-000832,PRJ-011,RFI,RFI-00374,2,2024-01-04T15:00,Submitted,Closed,Owner Representative,Subcontractor,Respond and close,0,No,Final response
EVT-000833,PRJ-011,RFI,RFI-00375,1,2022-11-12T08:00,,Submitted,Subcontractor,Architect,Submit,0,Yes,Initial submission
EVT-000834,PRJ-011,RFI,RFI-00375,2,2022-11-18T13:00,Submitted,Returned for Clarification,Architect,Subcontractor,Return,1,Yes,Insufficient information
EVT-000835,PRJ-011,RFI,RFI-00375,3,2022-11-24T15:00,Returned for Clarification,Closed,Architect,Subcontractor,Respond and close,1,No,Final response
EVT-000836,PRJ-011,RFI,RFI-00376,1,2022-08-15T08:00,,Submitted,General Contractor,Engineer,Submit,0,Yes,Initial submission
EVT-000837,PRJ-011,RFI,RFI-00376,2,2022-08-30T15:00,Submitted,Answered,Engineer,General Contractor,Respond,0,No,Final response
EVT-000838,PRJ-011,RFI,RFI-00377,1,2023-02-07T08:00,,Submitted,General Contractor,Engineer,Submit,0,Yes,Initial submission
EVT-000839,PRJ-011,RFI,RFI-00377,2,2023-02-18T15:00,Submitted,Answered,Engineer,General Contractor,Respond,0,No,Final response
EVT-000840,PRJ-011,RFI,RFI-00378,1,2023-02-17T08:00,,Submitted,Subcontractor,Engineer,Submit,0,Yes,Initial submission
EVT-000841,PRJ-011,RFI,RFI-00378,2,2023-02-20T15:00,Submitted,Answered,Engineer,Subcontractor,Respond,0,No,Final response
EVT-000842,PRJ-011,RFI,RFI-00379,1,2022-09-30T08:00,,Submitted,General Contractor,Engineer,Submit,0,Yes,Initial submission
EVT-000843,PRJ-011,RFI,RFI-00379,2,2022-10-08T15:00,Submitted,Closed,Engineer,General Contractor,Respond and close,0,No,Final response
EVT-000844,PRJ-011,RFI,RFI-00380,1,2022-01-10T08:00,,Submitted,General Contractor,Engineer,Submit,0,Yes,Initial submission
EVT-000845,PRJ-011,RFI,RFI-00380,2,2022-01-18T15:00,Submitted,Closed,Engineer,General Contractor,Respond and close,0,No,Final response
EVT-000846,PRJ-011,RFI,RFI-00381,1,2024-03-13T08:00,,Submitted,Subcontractor,Engineer,Submit,0,Yes,Initial submission
EVT-000847,PRJ-011,RFI,RFI-00381,2,2024-03-26T15:00,Submitted,Closed,Engineer,Subcontractor,Respond and close,0,No,Final response
EVT-000848,PRJ-011,RFI,RFI-00382,1,2023-04-01T08:00,,Submitted,General Contractor,Engineer,Submit,0,Yes,Initial submission
EVT-000849,PRJ-011,RFI,RFI-00382,2,2023-04-07T11:00,Submitted,In Review,Design Manager,Engineer,Assign or escalate,0,Yes,Current open status
EVT-000850,PRJ-011,RFI,RFI-00383,1,2024-02-21T08:00,,Submitted,Subcontractor,Owner Representative,Submit,0,Yes,Initial submission
EVT-000851,PRJ-011,RFI,RFI-00383,2,2024-03-06T15:00,Submitted,Closed,Owner Representative,Subcontractor,Respond and close,0,No,Final response
EVT-000852,PRJ-011,RFI,RFI-00384,1,2023-07-15T08:00,,Submitted,Subcontractor,Engineer,Submit,0,Yes,Initial submission
EVT-000853,PRJ-011,RFI,RFI-00384,2,2023-07-22T15:00,Submitted,Closed,Engineer,Subcontractor,Respond and close,0,No,Final response
EVT-000854,PRJ-012,RFI,RFI-00385,1,2025-05-17T08:00,,Submitted,General Contractor,Engineer,Submit,0,Yes,Initial submission
EVT-000855,PRJ-012,RFI,RFI-00385,2,2025-06-05T13:00,Submitted,Returned for Clarification,Engineer,General Contractor,Return,1,Yes,Insufficient information
EVT-000856,PRJ-012,RFI,RFI-00385,3,2025-06-12T15:00,Returned for Clarification,Closed,Engineer,General Contractor,Respond and close,1,No,Final response
EVT-000857,PRJ-012,RFI,RFI-00386,1,2024-09-05T08:00,,Submitted,Construction Manager,Engineer,Submit,0,Yes,Initial submission
EVT-000858,PRJ-012,RFI,RFI-00386,2,2024-09-10T15:00,Submitted,Answered,Engineer,Construction Manager,Respond,0,No,Final response
EVT-000859,PRJ-012,RFI,RFI-00387,1,2024-10-10T08:00,,Submitted,General Contractor,Engineer,Submit,0,Yes,Initial submission
EVT-000860,PRJ-012,RFI,RFI-00387,2,2024-10-19T15:00,Submitted,Closed,Engineer,General Contractor,Respond and close,0,No,Final response
EVT-000861,PRJ-012,RFI,RFI-00388,1,2025-11-23T08:00,,Submitted,Subcontractor,Engineer,Submit,0,Yes,Initial submission
EVT-000862,PRJ-012,RFI,RFI-00388,2,2025-12-12T15:00,Submitted,Closed,Engineer,Subcontractor,Respond and close,0,No,Final response
EVT-000863,PRJ-012,RFI,RFI-00389,1,2024-09-04T08:00,,Submitted,Subcontractor,Engineer,Submit,0,Yes,Initial submission
EVT-000864,PRJ-012,RFI,RFI-00389,2,2024-09-08T15:00,Submitted,Answered,Engineer,Subcontractor,Respond,0,No,Final response
EVT-000865,PRJ-012,RFI,RFI-00390,1,2024-10-10T08:00,,Submitted,General Contractor,Engineer,Submit,0,Yes,Initial submission
EVT-000866,PRJ-012,RFI,RFI-00390,2,2024-10-19T15:00,Submitted,Closed,Engineer,General Contractor,Respond and close,0,No,Final response
EVT-000867,PRJ-012,RFI,RFI-00391,1,2024-10-27T08:00,,Submitted,Construction Manager,Architect,Submit,0,Yes,Initial submission
EVT-000868,PRJ-012,RFI,RFI-00391,2,2024-11-15T13:00,Submitted,Returned for Clarification,Architect,Construction Manager,Return,1,Yes,Insufficient information
EVT-000869,PRJ-012,RFI,RFI-00391,3,2024-11-19T15:00,Returned for Clarification,Answered,Architect,Construction Manager,Respond,1,No,Final response
EVT-000870,PRJ-012,RFI,RFI-00392,1,2025-05-23T08:00,,Submitted,Subcontractor,Engineer,Submit,0,Yes,Initial submission
EVT-000871,PRJ-012,RFI,RFI-00392,2,2025-06-14T15:00,Submitted,Closed,Engineer,Subcontractor,Respond and close,0,No,Final response
EVT-000872,PRJ-012,RFI,RFI-00393,1,2025-04-07T08:00,,Submitted,General Contractor,Engineer,Submit,0,Yes,Initial submission
EVT-000873,PRJ-012,RFI,RFI-00393,2,2025-04-19T15:00,Submitted,Closed,Engineer,General Contractor,Respond and close,0,No,Final response
EVT-000874,PRJ-012,RFI,RFI-00394,1,2025-07-30T08:00,,Submitted,General Contractor,Engineer,Submit,0,Yes,Initial submission
EVT-000875,PRJ-012,RFI,RFI-00394,2,2025-08-24T15:00,Submitted,Closed,Engineer,General Contractor,Respond and close,0,No,Final response
EVT-000876,PRJ-012,RFI,RFI-00395,1,2025-03-03T08:00,,Submitted,General Contractor,Engineer,Submit,0,Yes,Initial submission
EVT-000877,PRJ-012,RFI,RFI-00395,2,2025-03-09T13:00,Submitted,Returned for Clarification,Engineer,General Contractor,Return,1,Yes,Insufficient information
EVT-000878,PRJ-012,RFI,RFI-00395,3,2025-03-17T11:00,Submitted,Returned for Clarification,Design Manager,Engineer,Assign or escalate,1,Yes,Current open status
EVT-000879,PRJ-012,RFI,RFI-00396,1,2025-06-01T08:00,,Submitted,Subcontractor,Engineer,Submit,0,Yes,Initial submission
EVT-000880,PRJ-012,RFI,RFI-00396,2,2025-06-11T13:00,Submitted,Returned for Clarification,Engineer,Subcontractor,Return,1,Yes,Insufficient information
EVT-000881,PRJ-012,RFI,RFI-00396,3,2025-06-19T15:00,Returned for Clarification,Closed,Engineer,Subcontractor,Respond and close,1,No,Final response
EVT-000882,PRJ-012,RFI,RFI-00397,1,2025-05-22T08:00,,Submitted,General Contractor,Construction Manager,Submit,0,Yes,Initial submission
EVT-000883,PRJ-012,RFI,RFI-00397,2,2025-06-07T15:00,Submitted,Closed,Construction Manager,General Contractor,Respond and close,0,No,Final response
EVT-000884,PRJ-012,RFI,RFI-00398,1,2025-08-13T08:00,,Submitted,Subcontractor,Owner Representative,Submit,0,Yes,Initial submission
EVT-000885,PRJ-012,RFI,RFI-00398,2,2025-09-14T15:00,Submitted,Closed,Owner Representative,Subcontractor,Respond and close,0,No,Final response
EVT-000886,PRJ-012,RFI,RFI-00399,1,2024-09-21T08:00,,Submitted,General Contractor,Engineer,Submit,0,Yes,Initial submission
EVT-000887,PRJ-012,RFI,RFI-00399,2,2024-10-05T15:00,Submitted,Answered,Engineer,General Contractor,Respond,0,No,Final response
EVT-000888,PRJ-012,RFI,RFI-00400,1,2025-02-10T08:00,,Submitted,Subcontractor,Architect,Submit,0,Yes,Initial submission
EVT-000889,PRJ-012,RFI,RFI-00400,2,2025-03-02T15:00,Submitted,Closed,Architect,Subcontractor,Respond and close,0,No,Final response
EVT-000890,PRJ-012,RFI,RFI-00401,1,2024-11-07T08:00,,Submitted,General Contractor,Engineer,Submit,0,Yes,Initial submission
EVT-000891,PRJ-012,RFI,RFI-00401,2,2024-11-24T15:00,Submitted,Closed,Engineer,General Contractor,Respond and close,0,No,Final response
EVT-000892,PRJ-012,RFI,RFI-00402,1,2024-10-24T08:00,,Submitted,Subcontractor,Architect,Submit,0,Yes,Initial submission
EVT-000893,PRJ-012,RFI,RFI-00402,2,2024-11-14T15:00,Submitted,Closed,Architect,Subcontractor,Respond and close,0,No,Final response
EVT-000894,PRJ-012,RFI,RFI-00403,1,2024-10-10T08:00,,Submitted,General Contractor,Engineer,Submit,0,Yes,Initial submission
EVT-000895,PRJ-012,RFI,RFI-00403,2,2024-10-17T13:00,Submitted,Returned for Clarification,Engineer,General Contractor,Return,1,Yes,Insufficient information
EVT-000896,PRJ-012,RFI,RFI-00403,3,2024-10-26T15:00,Returned for Clarification,Closed,Engineer,General Contractor,Respond and close,1,No,Final response
EVT-000897,PRJ-012,RFI,RFI-00404,1,2025-08-14T08:00,,Submitted,Subcontractor,Engineer,Submit,0,Yes,Initial submission
EVT-000898,PRJ-012,RFI,RFI-00404,2,2025-09-20T15:00,Submitted,Closed,Engineer,Subcontractor,Respond and close,0,No,Final response
EVT-000899,PRJ-012,RFI,RFI-00405,1,2024-06-08T08:00,,Submitted,General Contractor,Engineer,Submit,0,Yes,Initial submission
EVT-000900,PRJ-012,RFI,RFI-00405,2,2024-06-22T15:00,Submitted,Closed,Engineer,General Contractor,Respond and close,0,No,Final response
EVT-000901,PRJ-012,RFI,RFI-00406,1,2024-11-27T08:00,,Submitted,Subcontractor,Engineer,Submit,0,Yes,Initial submission
EVT-000902,PRJ-012,RFI,RFI-00406,2,2024-12-10T15:00,Submitted,Closed,Engineer,Subcontractor,Respond and close,0,No,Final response
EVT-000903,PRJ-012,RFI,RFI-00407,1,2025-07-18T08:00,,Submitted,Subcontractor,Engineer,Submit,0,Yes,Initial submission
EVT-000904,PRJ-012,RFI,RFI-00407,2,2025-07-31T11:00,Submitted,In Review,Design Manager,Engineer,Assign or escalate,0,Yes,Current open status
EVT-000905,PRJ-012,RFI,RFI-00408,1,2025-04-10T08:00,,Submitted,Subcontractor,Engineer,Submit,0,Yes,Initial submission
EVT-000906,PRJ-012,RFI,RFI-00408,2,2025-05-01T13:00,Submitted,Returned for Clarification,Engineer,Subcontractor,Return,1,Yes,Insufficient information
EVT-000907,PRJ-012,RFI,RFI-00408,3,2025-05-07T15:00,Returned for Clarification,Answered,Engineer,Subcontractor,Respond,1,No,Final response
EVT-000908,PRJ-012,RFI,RFI-00409,1,2024-08-07T08:00,,Submitted,General Contractor,Engineer,Submit,0,Yes,Initial submission
EVT-000909,PRJ-012,RFI,RFI-00409,2,2024-08-17T15:00,Submitted,Closed,Engineer,General Contractor,Respond and close,0,No,Final response
EVT-000910,PRJ-012,RFI,RFI-00410,1,2024-11-23T08:00,,Submitted,Construction Manager,Architect,Submit,0,Yes,Initial submission
