Project_ID,Project_Name,Project_Type,Delivery_Method,Complexity_Level,Digital_Coordination_Level,Owner_Decision_Profile,Original_Budget,RFI_Count,Responded_Count,Avg_Response_Days,On_Time_Count,Overdue_Open_Count,High_Critical_Overdue_Count,Cost_Impacted_RFI_Count,Actual_RFI_Cost_Impact,Actual_RFI_Schedule_Days,Linked_RFI_Count,Change_Count,Approved_Change_Count,Pending_Change_Count,Approved_Change_Value,Pending_Change_Exposure,Avg_Approval_Cycle_Days,Old_Pending_Count,Avg_Forecast_Lag_Days,Approved_Not_Incorporated_Count,Linked_Change_Count,Event_Count,Handoff_Count,Revision_Loop_Count,Avg_Stage_Duration_Days,On_Time_Rate_Pct,Overdue_Open_Rate_Pct,High_Critical_Overdue_Rate_Pct,RFI_to_Change_Rate_Pct,Pending_Exposure_Pct_Budget,Approved_Change_Pct_Budget,Approved_Not_Incorporated_Rate_Pct,Response_Points,Overdue_Points,High_Critical_Overdue_Points,Approval_Points,Pending_Exposure_Points,Forecast_Lag_Points,Not_Incorporated_Points,Workflow_Risk_Score,Red_Indicator_Count,Yellow_Indicator_Count,Workflow_Health
PRJ-069,Granite Medical Pavilion,Institutional,CMAR,Moderate,High,Slow,25315000.0,27,25,12.84,13,2,0,3,80000.0,20,4,9,6,2,224000.0,50000.0,28.666666666666668,2,7.166666666666667,0,4,91,47,10,11.286545454545454,52.0,7.41,0.0,14.81,0.198,0.885,0.0,1,0,0,1,0,1,0,3,0,3,Yellow
PRJ-014,Riverbend Retail Pavilion,Commercial,Design-Bid-Build,Moderate,Moderate,Standard,104424000.0,26,25,10.4,14,1,0,3,69300.0,27,6,9,4,1,714000.0,0.0,28.5,1,6.5,0,6,88,46,9,10.464716981132076,56.0,3.85,0.0,23.08,0.0,0.684,0.0,1,0,0,1,0,1,0,3,0,3,Yellow
PRJ-010,Canyon Neighborhood,Residential,Design-Build,High,High,Standard,35406000.0,27,26,10.692307692307692,16,1,0,3,30000.0,65,5,11,10,0,644000.0,0,32.5,0,5.0,1,4,101,54,14,12.103174603174603,61.54,3.7,0.0,18.52,0.0,1.819,10.0,1,0,0,1,0,0,1,3,0,3,Yellow
PRJ-001,Red Rock Town Center,Mixed-Use,CMAR,Low,Moderate,Standard,330355000.0,29,28,6.75,22,1,0,2,33000.0,7,7,16,14,1,11034000.0,0.0,12.785714285714286,1,5.8,4,8,111,62,5,7.776515151515151,78.57,3.45,0.0,24.14,0.0,3.34,28.57,0,0,0,0,0,1,2,3,1,1,Yellow
PRJ-007,Canyon Medical Pavilion,Institutional,Design-Build,High,Moderate,Standard,43072000.0,38,36,11.61111111111111,17,1,0,9,137900.0,49,4,9,9,0,1901000.0,0,26.11111111111111,0,9.11111111111111,0,3,120,61,18,10.11109589041096,47.22,2.63,0.0,10.53,0.0,4.414,0.0,1,0,0,1,0,1,0,3,0,3,Yellow
PRJ-041,Riverbend Transit-Oriented Development,Mixed-Use,CMAR,Low,Low,Fast,260515000.0,28,26,7.1923076923076925,18,2,0,3,297000.0,13,8,12,6,5,3301000.0,4507000.0,19.333333333333332,5,3.8333333333333335,0,9,104,57,12,7.543125,69.23,7.14,0.0,28.57,1.73,1.267,0.0,0,0,0,0,2,0,0,2,1,0,Green
PRJ-028,Canyon Bridge Rehabilitation,Heavy Civil & Infrastructure,CMAR,High,High,Standard,73292000.0,28,26,12.884615384615385,11,2,0,8,445000.0,0,4,10,4,3,207000.0,959000.0,19.0,3,4.25,0,6,97,48,12,10.7,42.31,7.14,0.0,14.29,1.308,0.282,0.0,1,0,0,0,1,0,0,2,0,2,Green
PRJ-066,Liberty Civic Complex,Institutional,CMAR,Low,Moderate,Standard,172986000.0,35,32,6.71875,19,3,1,1,159000.0,0,2,8,5,1,-13000.0,399000.0,17.2,1,9.8,0,2,102,51,8,7.604576271186441,59.38,8.57,2.86,5.71,0.231,-0.008,0.0,0,0,1,0,0,1,0,2,0,2,Green
PRJ-062,Copper Ridge Housing Community,Residential,Design-Bid-Build,Moderate,High,Fast,15016000.0,30,29,7.172413793103448,23,1,0,8,191100.0,29,9,14,9,3,279400.0,34200.0,14.777777777777779,3,7.125,1,10,106,57,4,7.92,79.31,3.33,0.0,30.0,0.228,1.861,11.11,0,0,0,0,0,1,1,2,0,2,Green
PRJ-073,Blue Mesa Apartments,Residential,CMAR,High,Moderate,Standard,31695000.0,41,38,13.447368421052632,11,3,0,12,693000.0,25,9,10,4,2,758000.0,66000.0,32.75,2,4.5,0,6,126,66,15,11.545466666666666,28.95,7.32,0.0,21.95,0.208,2.392,0.0,1,0,0,1,0,0,0,2,0,2,Green
PRJ-074,Canyon Distribution Center,Industrial,Design-Build,Moderate,Moderate,Standard,31649000.0,28,27,9.0,20,1,1,2,59000.0,24,6,10,6,2,416500.0,50000.0,25.166666666666668,2,4.5,0,4,93,51,7,9.862909090909092,74.07,3.57,3.57,21.43,0.158,1.316,0.0,0,0,1,1,0,0,0,2,0,2,Green
PRJ-085,Red Rock Community College,Institutional,CMAR,Low,Moderate,Standard,72110000.0,24,22,8.0,14,2,0,2,131100.0,2,3,11,5,3,223000.0,976000.0,13.8,3,5.0,0,3,88,47,7,7.875283018867925,63.64,8.33,0.0,12.5,1.353,0.309,0.0,0,0,0,0,1,0,0,1,0,1,Green
PRJ-044,Sunset Processing Plant 2,Industrial,CMAR,Low,High,Standard,194536000.0,31,29,6.275862068965517,29,2,0,2,50000.0,13,6,8,4,2,155000.0,1262000.0,14.0,2,5.0,0,6,92,50,6,7.430754716981132,100.0,6.45,0.0,19.35,0.649,0.08,0.0,0,0,0,0,1,0,0,1,0,1,Green
PRJ-020,Aspen Processing Plant,Industrial,Design-Bid-Build,Moderate,Low,Fast,216015000.0,30,29,8.413793103448276,20,1,0,4,42700.0,10,7,15,7,3,1655000.0,1247000.0,16.857142857142858,3,3.857142857142857,0,8,114,63,9,9.105652173913043,68.97,3.33,0.0,23.33,0.577,0.766,0.0,0,0,0,0,1,0,0,1,0,1,Green
PRJ-060,Summit Medical Pavilion 2,Institutional,Design-Build,Moderate,Moderate,Standard,26794000.0,22,21,9.714285714285714,10,1,0,3,791000.0,12,5,7,4,2,793000.0,88000.0,18.0,2,8.0,0,4,71,38,6,9.427857142857142,47.62,4.55,0.0,22.73,0.328,2.96,0.0,0,0,0,0,0,1,0,1,0,1,Green
PRJ-061,Red Rock Distribution Center,Industrial,Design-Bid-Build,Low,Moderate,Standard,231610000.0,37,36,6.916666666666667,25,1,0,2,39000.0,10,6,9,7,2,6667000.0,894000.0,15.857142857142858,2,4.714285714285714,0,5,112,57,11,6.906363636363636,69.44,2.7,0.0,16.22,0.386,2.879,0.0,0,0,0,0,0,0,0,0,0,0,Green
PRJ-084,Northstar Retail Pavilion,Commercial,Design-Bid-Build,Low,Moderate,Standard,179971000.0,28,25,5.6,21,3,0,4,110700.0,0,5,9,6,2,1378000.0,281000.0,14.166666666666666,2,4.5,0,5,88,44,6,7.077843137254902,84.0,10.71,0.0,17.86,0.156,0.766,0.0,0,0,0,0,0,0,0,0,0,0,Green
PRJ-015,Evergreen Retail Pavilion,Commercial,CMAR,Moderate,Moderate,Fast,16767000.0,26,25,8.76,18,1,0,6,154100.0,25,5,7,6,1,52500.0,12000.0,16.666666666666668,1,3.8333333333333335,0,5,80,42,7,8.641063829787234,72.0,3.85,0.0,19.23,0.072,0.313,0.0,0,0,0,0,0,0,0,0,0,0,Green
